Material	2019	2020	2021	2022	2023
Lanka Auto Diesel	6455401	5098565	5524771	4777883	4071453
Lanka Super Diesel - Euro4	234877	191312	212830	234700	96533
Lanka Kerosene	707288	605470	646274	343075	288517
Lanka Petrol 95 Oct Euro4	474802	371139	370114	200492	104551
Lanka Petrol 92 Octane	4133911	3689845	3969186	3473401	3538581
