fuel_consumption,petroleum_imports_crudeOil,Taxes_on_Customs_and_Other_Import Duties,Foreign Direct Investments,GDP Goods and Services,New Vehicle Registrations,Vehicle Sales,Vehicle Sales Asia,No.of Vessels Colombo,Imports of Refined Products,Tax income profits_gains,Tax Goods & Services,Tax Road Transport,GDP FCE Households,Diesel User Price,Petrol User Price,Consumption_Oil,Sales 90 Octane,Sales 95 Octane,Sales Auto Diesel,year,month,day,weekday,quarter
-1.5078750212271355,-1.4688078530334383,-1.2131162958906754,-1.5095718685919297,-1.8384184100898124,-1.381206894964145,-1.5785885214164055,-1.1098169715163515,0.18483763059482092,-1.6951410634613473,-1.453339725770081,1.1419836601084432,-1.9792199250722067,-1.3370680518991749,-1.178053526641966,-1.2709558094795645,-1.3737891264052922,-1.7967214474422226,-1.3513315630127274,0.6340539143089496,2010,1,4,0,1
-1.5078750212271355,-1.4688078530334383,-1.2131162958906754,-1.5095718685919297,-1.8384184100898124,-1.381206894964145,-1.5785885214164055,-1.1098169715163515,0.18483763059482092,-1.6951410634613473,-1.453339725770081,1.1419836601084432,-1.9792199250722067,-1.3370680518991749,-1.178053526641966,-1.2709558094795645,-1.3737891264052922,-1.7967214474422226,-1.3513315630127274,0.6340539143089496,2010,1,11,0,1
-1.5078750212271355,-1.4688078530334383,-1.2131162958906754,-1.5095718685919297,-1.8384184100898124,-1.381206894964145,-1.5785885214164055,-1.1098169715163515,0.18483763059482092,-1.6951410634613473,-1.453339725770081,1.1419836601084432,-1.9792199250722067,-1.3370680518991749,-1.178053526641966,-1.2709558094795645,-1.3737891264052922,-1.7967214474422226,-1.3513315630127274,0.6340539143089496,2010,1,18,0,1
-1.5078750212271355,-1.4688078530334383,-1.2131162958906754,-1.5095718685919297,-1.8384184100898124,-1.381206894964145,-1.5785885214164055,-1.1098169715163515,0.18483763059482092,-1.6951410634613473,-1.453339725770081,1.1419836601084432,-1.9792199250722067,-1.3370680518991749,-1.178053526641966,-1.2709558094795645,-1.3737891264052922,-1.7967214474422226,-1.3513315630127274,0.6340539143089496,2010,1,25,0,1
-1.5078750212271355,-1.4688078530334383,-1.2131162958906754,-1.5095718685919297,-1.8384184100898124,-0.7475892646097239,-1.5785885214164055,-1.1098169715163515,-1.084050301766016,-1.6951410634613473,-1.453339725770081,1.1419836601084432,-1.9792199250722067,-1.3370680518991749,-1.178053526641966,-1.2709558094795645,-1.3737891264052922,-1.7967214474422226,-1.3513315630127274,0.6340539143089496,2010,2,1,0,1
-1.5078750212271355,-1.4688078530334383,-1.2131162958906754,-1.5095718685919297,-1.8384184100898124,-0.7475892646097239,-1.5785885214164055,-1.1098169715163515,-1.084050301766016,-1.6951410634613473,-1.453339725770081,1.1419836601084432,-1.9792199250722067,-1.3370680518991749,-1.178053526641966,-1.2709558094795645,-1.3737891264052922,-1.7967214474422226,-1.3513315630127274,0.6340539143089496,2010,2,8,0,1
-1.5078750212271355,-1.4688078530334383,-1.2131162958906754,-1.5095718685919297,-1.8384184100898124,-0.7475892646097239,-1.5785885214164055,-1.1098169715163515,-1.084050301766016,-1.6951410634613473,-1.453339725770081,1.1419836601084432,-1.9792199250722067,-1.3370680518991749,-1.178053526641966,-1.2709558094795645,-1.3737891264052922,-1.7967214474422226,-1.3513315630127274,0.6340539143089496,2010,2,15,0,1
-1.5078750212271355,-1.4688078530334383,-1.2131162958906754,-1.5095718685919297,-1.8384184100898124,-0.7475892646097239,-1.5785885214164055,-1.1098169715163515,-1.084050301766016,-1.6951410634613473,-1.453339725770081,1.1419836601084432,-1.9792199250722067,-1.3370680518991749,-1.178053526641966,-1.2709558094795645,-1.3737891264052922,-1.7967214474422226,-1.3513315630127274,0.6340539143089496,2010,2,22,0,1
-1.5078750212271355,-1.4688078530334383,-1.2131162958906754,-1.5095718685919297,-1.8384184100898124,-0.856618802295262,-1.5785885214164055,-1.1098169715163515,-1.084050301766016,-1.6951410634613473,-1.453339725770081,1.1419836601084432,-1.9792199250722067,-1.3370680518991749,-1.178053526641966,-1.2709558094795645,-1.3737891264052922,-1.7967214474422226,-1.3513315630127274,0.6340539143089496,2010,3,1,0,1
-1.5078750212271355,-1.4688078530334383,-1.2131162958906754,-1.5095718685919297,-1.8384184100898124,-0.856618802295262,-1.5785885214164055,-1.1098169715163515,-0.13860439137951,-1.6951410634613473,-1.453339725770081,1.1419836601084432,-1.9792199250722067,-1.3370680518991749,-1.178053526641966,-1.2709558094795645,-1.3737891264052922,-1.7967214474422226,-1.3513315630127274,0.6340539143089496,2010,3,8,0,1
-1.5078750212271355,-1.4688078530334383,-1.2131162958906754,-1.5095718685919297,-1.8384184100898124,-0.856618802295262,-1.5785885214164055,-1.1098169715163515,-0.13860439137951,-1.6951410634613473,-1.453339725770081,1.1419836601084432,-1.9792199250722067,-1.3370680518991749,-1.178053526641966,-1.2709558094795645,-1.3737891264052922,-1.7967214474422226,-1.3513315630127274,0.6340539143089496,2010,3,15,0,1
-1.5078750212271355,-1.4688078530334383,-1.2131162958906754,-1.5095718685919297,-1.8384184100898124,-0.856618802295262,-1.5785885214164055,-1.1098169715163515,-0.13860439137951,-1.6951410634613473,-1.453339725770081,1.1419836601084432,-1.9792199250722067,-1.3370680518991749,-1.178053526641966,-1.2709558094795645,-1.3737891264052922,-1.7967214474422226,-1.3513315630127274,0.6340539143089496,2010,3,22,0,1
