filename,dates,money_values,percentages,fuel_types,product_codes,policy_actions,legal_references,date_references,quantitative_measures,special_use_cases
2014-1-20 x_text.txt,"['th October  2013', 'th January , 201']","['Rs. 450', 'Rs. 500', 'Rs. 800', 'Rs. 900', 'Rs. 75', 'Rs. 350', 'Rs. 400', 'Rs. 450', 'Rs. 500', 'Rs. 800', 'Rs. 900', 'Rs. 100', 'Rs. 100', 'Rs. 225', 'Rs. 875']",[],,,"Excise duty, Rescind, Rescinded","Excise, Act, Ministry of Finance",rescinded,"%, cc, Rs.",Import
2014-1-21_text.txt,[],"['Rs. 109,000', 'Rs. 109,000', 'Rs. 109,000', 'Rs. 109,000', 'Rs. 109,000', 'Rs. 150,000', 'Rs. 109,000', 'Rs. 109,000', 'Rs. 109', 'Rs. 109', 'Rs. 109', 'Rs. 109', 'Rs. 109', 'Rs. 109,000', 'Rs. 109', 'Rs. 109,000', 'Rs. 109,000', 'Rs. 109,000']","['40%', '3%', '3%', '14%', '14%', '3%', '3%', '46%', '46%', '46%', '46%', '32%', '32%', '62%', '62%', '76%', '76%', '29%', '29%', '35%', '35%', '3%', '3%', '14%', '14%', '3%', '3%', '46%', '46%', '46%', '46%', '32%', '32%', '62%', '62%', '76%', '76%', '29%', '29%', '16%', '16%', '37%', '37%', '37%']",Diesel,,"Excise duty, Order under Section 3","Excise, Act, Ministry of Finance, Order under",,"%, Rs.","Vehicles, Engine"
2014-10-22_text.txt,[],"['Rs. 17,060', 'Rs. 39,925', 'Rs. 17,060', 'Rs. 19,370', 'Rs. 22,415']","['100%', '100%', '40%', '100%', '40%', '100%', '40%', '40%', '40%', '40%', '40%']",,,"Exempt, Concession, Amendment","Act, Circular No., Made",Effective date,"%, cc, Rs., percent",
2014-10-24_text.txt,[],['Rs. 300'],[],,,,"Act, Ministry of Finance",,"%, cc, Rs.",
2014-10-9 x_text.txt,"['th January  2014', 'th October  2014', 'th October  2014', 'th October  2014', 'th October  2014', 'th October  2014', 'th October  2014', 'th October  2014', 'th October  2014']","['Rs. 500', 'Rs. 600', 'Rs. 900', 'Rs. 1,000', 'Rs. 100', 'Rs. 500', 'Rs. 600', 'Rs. 600', 'Rs. 700', 'Rs. 1,000', 'Rs. 1,100', 'Rs.500', 'Rs.600', 'Rs. 600', 'Rs.700', 'Rs. 1,000', 'Rs. 1,100', 'Rs. 300', 'Rs. 1,000', 'Rs. 100', 'Rs. 100', 'Rs. 120.00', 'Rs. 145.00', 'Rs. 1,370.00', 'Rs. 1,200.00']","['201%', '5%', '5%']",,,"Excise duty, Rescind, Rescinded","Excise, Act, Ministry of Finance, Made","Published in Gazette, rescinded","%, cc, Rs., rupees",Import
