date,residuals
2024-02-01,69.11658
2024-03-05,62.539734
2024-04-01,-13.69458
2024-05-01,-18.52829
2024-05-06,-17.251892
2024-06-05,-19.63617
2024-07-01,-44.223938
2024-07-15,-43.564575
2024-09-05,-49.96173
2024-10-01,-86.349
2024-11-01,-90.17676
2024-12-05,-91.76883
