date,residuals
2024-02-01,78.55475
2024-03-05,67.92969
2024-04-01,56.625793
2024-05-01,33.850494
2024-05-06,32.90152
2024-06-05,31.205261
2024-07-01,-12.942993
2024-07-15,-12.227966
2024-09-05,-16.611145
2024-10-01,-18.160522
2024-11-01,-23.157959
2024-12-05,-22.905457
