,Total Greenhouse Gas Emissions: Tonnes of CO2 Equivalent per Year: Transport
7/26/1971,0.027050087
8/2/1971,0.027050087
8/9/1971,0.027050087
8/16/1971,0.027050087
8/23/1971,0.027050087
8/30/1971,0.027050087
9/6/1971,0.027050087
9/13/1971,0.027050087
9/20/1971,0.027050087
9/27/1971,0.027050087
10/4/1971,0.027050087
10/11/1971,0.027050087
10/18/1971,0.027050087
10/25/1971,0.027050087
11/1/1971,0.027050087
11/8/1971,0.027050087
11/15/1971,0.027050087
11/22/1971,0.027050087
11/29/1971,0.027050087
12/6/1971,0.027050087
12/13/1971,0.027050087
12/20/1971,0.027050087
12/27/1971,0.027050087
1/3/1972,0.033880182
1/10/1972,0.033880182
1/17/1972,0.033880182
1/24/1972,0.033880182
1/31/1972,0.033880182
2/7/1972,0.033880182
2/14/1972,0.033880182
2/21/1972,0.033880182
2/28/1972,0.033880182
3/6/1972,0.033880182
3/13/1972,0.033880182
3/20/1972,0.033880182
3/27/1972,0.033880182
4/3/1972,0.033880182
4/10/1972,0.033880182
4/17/1972,0.033880182
4/24/1972,0.033880182
5/1/1972,0.033880182
5/8/1972,0.033880182
5/15/1972,0.033880182
5/22/1972,0.033880182
5/29/1972,0.033880182
6/5/1972,0.033880182
6/12/1972,0.033880182
6/19/1972,0.033880182
6/26/1972,0.033880182
7/3/1972,0.033880182
7/10/1972,0.033880182
7/17/1972,0.033880182
7/24/1972,0.033880182
7/31/1972,0.033880182
8/7/1972,0.033880182
8/14/1972,0.033880182
8/21/1972,0.033880182
8/28/1972,0.033880182
9/4/1972,0.033880182
9/11/1972,0.033880182
9/18/1972,0.033880182
9/25/1972,0.033880182
10/2/1972,0.033880182
10/9/1972,0.033880182
10/16/1972,0.033880182
10/23/1972,0.033880182
10/30/1972,0.033880182
11/6/1972,0.033880182
11/13/1972,0.033880182
11/20/1972,0.033880182
11/27/1972,0.033880182
12/4/1972,0.033880182
12/11/1972,0.033880182
12/18/1972,0.033880182
12/25/1972,0.033880182
1/1/1973,0.031994453
1/8/1973,0.031994453
1/15/1973,0.031994453
1/22/1973,0.031994453
1/29/1973,0.031994453
2/5/1973,0.031994453
2/12/1973,0.031994453
2/19/1973,0.031994453
2/26/1973,0.031994453
3/5/1973,0.031994453
3/12/1973,0.031994453
3/19/1973,0.031994453
3/26/1973,0.031994453
4/2/1973,0.031994453
4/9/1973,0.031994453
4/16/1973,0.031994453
4/23/1973,0.031994453
4/30/1973,0.031994453
5/7/1973,0.031994453
5/14/1973,0.031994453
5/21/1973,0.031994453
5/28/1973,0.031994453
6/4/1973,0.031994453
6/11/1973,0.031994453
6/18/1973,0.031994453
6/25/1973,0.031994453
7/2/1973,0.031994453
7/9/1973,0.031994453
7/16/1973,0.031994453
7/23/1973,0.031994453
7/30/1973,0.031994453
8/6/1973,0.031994453
8/13/1973,0.031994453
8/20/1973,0.031994453
8/27/1973,0.031994453
9/3/1973,0.031994453
9/10/1973,0.031994453
9/17/1973,0.031994453
9/24/1973,0.031994453
10/1/1973,0.031994453
10/8/1973,0.031994453
10/15/1973,0.031994453
10/22/1973,0.031994453
10/29/1973,0.031994453
11/5/1973,0.031994453
11/12/1973,0.031994453
11/19/1973,0.031994453
11/26/1973,0.031994453
12/3/1973,0.031994453
12/10/1973,0.031994453
12/17/1973,0.031994453
12/24/1973,0.031994453
12/31/1973,0.031994453
1/7/1974,0.029041225
1/14/1974,0.029041225
1/21/1974,0.029041225
1/28/1974,0.029041225
2/4/1974,0.029041225
2/11/1974,0.029041225
2/18/1974,0.029041225
2/25/1974,0.029041225
3/4/1974,0.029041225
3/11/1974,0.029041225
3/18/1974,0.029041225
3/25/1974,0.029041225
4/1/1974,0.029041225
4/8/1974,0.029041225
4/15/1974,0.029041225
4/22/1974,0.029041225
4/29/1974,0.029041225
5/6/1974,0.029041225
5/13/1974,0.029041225
5/20/1974,0.029041225
5/27/1974,0.029041225
6/3/1974,0.029041225
6/10/1974,0.029041225
6/17/1974,0.029041225
6/24/1974,0.029041225
7/1/1974,0.029041225
7/8/1974,0.029041225
7/15/1974,0.029041225
7/22/1974,0.029041225
7/29/1974,0.029041225
8/5/1974,0.029041225
8/12/1974,0.029041225
8/19/1974,0.029041225
8/26/1974,0.029041225
9/2/1974,0.029041225
9/9/1974,0.029041225
9/16/1974,0.029041225
9/23/1974,0.029041225
9/30/1974,0.029041225
10/7/1974,0.029041225
10/14/1974,0.029041225
10/21/1974,0.029041225
10/28/1974,0.029041225
11/4/1974,0.029041225
11/11/1974,0.029041225
11/18/1974,0.029041225
11/25/1974,0.029041225
12/2/1974,0.029041225
12/9/1974,0.029041225
12/16/1974,0.029041225
12/23/1974,0.029041225
12/30/1974,0.029041225
1/6/1975,0.026182338
1/13/1975,0.026182338
1/20/1975,0.026182338
1/27/1975,0.026182338
2/3/1975,0.026182338
2/10/1975,0.026182338
2/17/1975,0.026182338
2/24/1975,0.026182338
3/3/1975,0.026182338
3/10/1975,0.026182338
3/17/1975,0.026182338
3/24/1975,0.026182338
3/31/1975,0.026182338
4/7/1975,0.026182338
4/14/1975,0.026182338
4/21/1975,0.026182338
4/28/1975,0.026182338
5/5/1975,0.026182338
5/12/1975,0.026182338
5/19/1975,0.026182338
5/26/1975,0.026182338
6/2/1975,0.026182338
6/9/1975,0.026182338
6/16/1975,0.026182338
6/23/1975,0.026182338
