,"NN: Motor Vehicle Sales: CV: Asia, Oceania & Middle East: Sri Lanka"
Region,Sri Lanka
Subnational,
Frequency,Weekly beginning at Monday
Unit,Unit
Source,International Organization of Motor Vehicle Manufacturers
Status,Active
Series ID,284285604 (NNRAAAFJA)
SR Code,SR6704356
Trade Code,
Mnemonic,
Function Description,DISAGGREGATE(Weekly; Sunday; Distribute)
First Obs. Date,01/03/2005
Last Obs. Date,12/30/2019
Last Update Time,21/11/2023
Series remarks,
Suggestions,
Mean,45.42145593869731
Variance,1305.3831488112571
Standard Deviation,36.13008647666453
Skewness,2.455639458528984
Kurtosis,5.30545338934459
Coefficient Variation,0.7954409591235297
Min,19.23076923076923
Max,165.3846153846154
Median,28.30188679245283
Sum,
Subtract,
No. of Obs,783
01/03/2005,26.9230769230769
01/10/2005,26.9230769230769
01/17/2005,26.9230769230769
01/24/2005,26.9230769230769
01/31/2005,26.9230769230769
02/07/2005,26.9230769230769
02/14/2005,26.9230769230769
02/21/2005,26.9230769230769
02/28/2005,26.9230769230769
03/07/2005,26.9230769230769
03/14/2005,26.9230769230769
03/21/2005,26.9230769230769
03/28/2005,26.9230769230769
04/04/2005,26.9230769230769
04/11/2005,26.9230769230769
04/18/2005,26.9230769230769
04/25/2005,26.9230769230769
05/02/2005,26.9230769230769
05/09/2005,26.9230769230769
05/16/2005,26.9230769230769
05/23/2005,26.9230769230769
05/30/2005,26.9230769230769
06/06/2005,26.9230769230769
06/13/2005,26.9230769230769
06/20/2005,26.9230769230769
06/27/2005,26.9230769230769
07/04/2005,26.9230769230769
07/11/2005,26.9230769230769
07/18/2005,26.9230769230769
07/25/2005,26.9230769230769
08/01/2005,26.9230769230769
08/08/2005,26.9230769230769
08/15/2005,26.9230769230769
08/22/2005,26.9230769230769
08/29/2005,26.9230769230769
09/05/2005,26.9230769230769
09/12/2005,26.9230769230769
09/19/2005,26.9230769230769
09/26/2005,26.9230769230769
10/03/2005,26.9230769230769
10/10/2005,26.9230769230769
10/17/2005,26.9230769230769
10/24/2005,26.9230769230769
10/31/2005,26.9230769230769
11/07/2005,26.9230769230769
11/14/2005,26.9230769230769
11/21/2005,26.9230769230769
11/28/2005,26.9230769230769
12/05/2005,26.9230769230769
12/12/2005,26.9230769230769
12/19/2005,26.9230769230769
12/26/2005,26.9230769230769
01/02/2006,26.9230769230769
01/09/2006,26.9230769230769
01/16/2006,26.9230769230769
01/23/2006,26.9230769230769
01/30/2006,26.9230769230769
02/06/2006,26.9230769230769
02/13/2006,26.9230769230769
02/20/2006,26.9230769230769
02/27/2006,26.9230769230769
03/06/2006,26.9230769230769
03/13/2006,26.9230769230769
03/20/2006,26.9230769230769
03/27/2006,26.9230769230769
04/03/2006,26.9230769230769
04/10/2006,26.9230769230769
04/17/2006,26.9230769230769
04/24/2006,26.9230769230769
05/01/2006,26.9230769230769
05/08/2006,26.9230769230769
05/15/2006,26.9230769230769
05/22/2006,26.9230769230769
05/29/2006,26.9230769230769
06/05/2006,26.9230769230769
06/12/2006,26.9230769230769
06/19/2006,26.9230769230769
06/26/2006,26.9230769230769
07/03/2006,26.9230769230769
07/10/2006,26.9230769230769
07/17/2006,26.9230769230769
07/24/2006,26.9230769230769
07/31/2006,26.9230769230769
08/07/2006,26.9230769230769
08/14/2006,26.9230769230769
08/21/2006,26.9230769230769
08/28/2006,26.9230769230769
09/04/2006,26.9230769230769
09/11/2006,26.9230769230769
09/18/2006,26.9230769230769
09/25/2006,26.9230769230769
10/02/2006,26.9230769230769
10/09/2006,26.9230769230769
10/16/2006,26.9230769230769
10/23/2006,26.9230769230769
10/30/2006,26.9230769230769
11/06/2006,26.9230769230769
11/13/2006,26.9230769230769
11/20/2006,26.9230769230769
11/27/2006,26.9230769230769
12/04/2006,26.9230769230769
12/11/2006,26.9230769230769
12/18/2006,26.9230769230769
12/25/2006,26.9230769230769
01/01/2007,33.9622641509434
01/08/2007,33.9622641509434
01/15/2007,33.9622641509434
01/22/2007,33.9622641509434
01/29/2007,33.9622641509434
02/05/2007,33.9622641509434
02/12/2007,33.9622641509434
02/19/2007,33.9622641509434
02/26/2007,33.9622641509434
03/05/2007,33.9622641509434
03/12/2007,33.9622641509434
03/19/2007,33.9622641509434
03/26/2007,33.9622641509434
04/02/2007,33.9622641509434
04/09/2007,33.9622641509434
04/16/2007,33.9622641509434
04/23/2007,33.9622641509434
04/30/2007,33.9622641509434
05/07/2007,33.9622641509434
05/14/2007,33.9622641509434
05/21/2007,33.9622641509434
05/28/2007,33.9622641509434
06/04/2007,33.9622641509434
06/11/2007,33.9622641509434
06/18/2007,33.9622641509434
06/25/2007,33.9622641509434
07/02/2007,33.9622641509434
07/09/2007,33.9622641509434
07/16/2007,33.9622641509434
07/23/2007,33.9622641509434
07/30/2007,33.9622641509434
08/06/2007,33.9622641509434
08/13/2007,33.9622641509434
08/20/2007,33.9622641509434
08/27/2007,33.9622641509434
09/03/2007,33.9622641509434
09/10/2007,33.9622641509434
09/17/2007,33.9622641509434
09/24/2007,33.9622641509434
10/01/2007,33.9622641509434
10/08/2007,33.9622641509434
10/15/2007,33.9622641509434
10/22/2007,33.9622641509434
10/29/2007,33.9622641509434
11/05/2007,33.9622641509434
11/12/2007,33.9622641509434
11/19/2007,33.9622641509434
11/26/2007,33.9622641509434
12/03/2007,33.9622641509434
12/10/2007,33.9622641509434
12/17/2007,33.9622641509434
12/24/2007,33.9622641509434
12/31/2007,33.9622641509434
01/07/2008,34.6153846153846
01/14/2008,34.6153846153846
01/21/2008,34.6153846153846
