,Number of Vessels Arrivals: Port of Colombo
Region,Sri Lanka
Subnational,
Frequency,Weekly beginning at Monday
Unit,Unit
Source,Central Bank of Sri Lanka
Status,Active
Series ID,31012201 (LTFAA)
SR Code,SR543627
Trade Code,
Mnemonic,
Function Description,DISAGGREGATE(Weekly; Sunday; Distribute)
First Obs. Date,12/07/1998
Last Obs. Date,11/25/2024
Last Update Time,30/12/2024
Series remarks,
Suggestions,
Mean,83.35103244837761
Variance,138.34472956056982
Standard Deviation,11.762003637160202
Skewness,0.14871153311344112
Kurtosis,-0.8056000246702539
Coefficient Variation,0.1411140725154766
Min,60.8
Max,110.25
Median,84.25
Sum,
Subtract,
05/19/2003,83.25
05/26/2003,83.25
06/02/2003,65.4
06/09/2003,65.4
06/16/2003,65.4
06/23/2003,65.4
06/30/2003,65.4
07/07/2003,81.5
07/14/2003,81.5
07/21/2003,81.5
07/28/2003,81.5
08/04/2003,84.75
08/11/2003,84.75
08/18/2003,84.75
08/25/2003,84.75
09/01/2003,63.8
09/08/2003,63.8
09/15/2003,63.8
09/22/2003,63.8
09/29/2003,63.8
10/06/2003,83.25
10/13/2003,83.25
10/20/2003,83.25
10/27/2003,83.25
11/03/2003,81.5
11/10/2003,81.5
11/17/2003,81.5
11/24/2003,81.5
12/01/2003,69.2
12/08/2003,69.2
12/15/2003,69.2
12/22/2003,69.2
12/29/2003,69.2
01/05/2004,82
01/12/2004,82
01/19/2004,82
01/26/2004,82
02/02/2004,82.25
02/09/2004,82.25
02/16/2004,82.25
02/23/2004,82.25
03/01/2004,72.4
03/08/2004,72.4
03/15/2004,72.4
03/22/2004,72.4
03/29/2004,72.4
04/05/2004,80
04/12/2004,80
04/19/2004,80
04/26/2004,80
05/03/2004,64.6
05/10/2004,64.6
05/17/2004,64.6
05/24/2004,64.6
05/31/2004,64.6
06/07/2004,82.5
06/14/2004,82.5
06/21/2004,82.5
06/28/2004,82.5
07/05/2004,78.25
07/12/2004,78.25
07/19/2004,78.25
07/26/2004,78.25
08/02/2004,62.8
08/09/2004,62.8
08/16/2004,62.8
08/23/2004,62.8
08/30/2004,62.8
09/06/2004,76.5
09/13/2004,76.5
09/20/2004,76.5
09/27/2004,76.5
10/04/2004,81.75
10/11/2004,81.75
10/18/2004,81.75
10/25/2004,81.75
11/01/2004,63.6
11/08/2004,63.6
11/15/2004,63.6
11/22/2004,63.6
11/29/2004,63.6
12/06/2004,78.5
12/13/2004,78.5
12/20/2004,78.5
12/27/2004,78.5
01/03/2005,65.8
01/10/2005,65.8
01/17/2005,65.8
01/24/2005,65.8
01/31/2005,65.8
02/07/2005,78.5
02/14/2005,78.5
02/21/2005,78.5
02/28/2005,78.5
03/07/2005,87.5
03/14/2005,87.5
03/21/2005,87.5
03/28/2005,87.5
04/04/2005,81.5
04/11/2005,81.5
04/18/2005,81.5
04/25/2005,81.5
05/02/2005,65.6
05/09/2005,65.6
05/16/2005,65.6
05/23/2005,65.6
05/30/2005,65.6
06/06/2005,81
06/13/2005,81
06/20/2005,81
06/27/2005,81
07/04/2005,85
07/11/2005,85
07/18/2005,85
07/25/2005,85
08/01/2005,73.6
08/08/2005,73.6
08/15/2005,73.6
08/22/2005,73.6
08/29/2005,73.6
09/05/2005,87.25
09/12/2005,87.25
09/19/2005,87.25
09/26/2005,87.25
10/03/2005,75.6
10/10/2005,75.6
10/17/2005,75.6
10/24/2005,75.6
10/31/2005,75.6
11/07/2005,89
11/14/2005,89
11/21/2005,89
11/28/2005,89
12/05/2005,94.25
12/12/2005,94.25
12/19/2005,94.25
12/26/2005,94.25
01/02/2006,73.2
01/09/2006,73.2
01/16/2006,73.2
01/23/2006,73.2
01/30/2006,73.2
02/06/2006,85.75
