,Refined Products: Demand: Local Sales: Auto Diesel: Annual
Region,Sri Lanka
Subnational,
Frequency,Weekly beginning at Monday
Unit,Metric Ton th
Source,Central Bank of Sri Lanka
Status,Active
Series ID,30772901 (LBKFB)
SR Code,SR854639
Trade Code,
Mnemonic,
Function Description,DISAGGREGATE(Weekly; Sunday; Distribute)
First Obs. Date,01/05/1987
Last Obs. Date,12/26/2022
Last Update Time,27/04/2023
Series remarks,
Suggestions,
Mean,27.93827209797656
Variance,113.19580828107763
Standard Deviation,10.639351873167728
Skewness,-0.6610701700814028
Kurtosis,-1.0174332292093504
Coefficient Variation,0.38081638820957314
Min,9.299057692307692
Max,42.19230769230769
Median,36.34615384615385
Sum,
Subtract,
No. of Obs,1878
01/05/1987,9.56353846153846
01/12/1987,9.56353846153846
01/19/1987,9.56353846153846
01/26/1987,9.56353846153846
02/02/1987,9.56353846153846
02/09/1987,9.56353846153846
02/16/1987,9.56353846153846
02/23/1987,9.56353846153846
03/02/1987,9.56353846153846
03/09/1987,9.56353846153846
03/16/1987,9.56353846153846
03/23/1987,9.56353846153846
03/30/1987,9.56353846153846
04/06/1987,9.56353846153846
04/13/1987,9.56353846153846
04/20/1987,9.56353846153846
04/27/1987,9.56353846153846
05/04/1987,9.56353846153846
05/11/1987,9.56353846153846
05/18/1987,9.56353846153846
05/25/1987,9.56353846153846
06/01/1987,9.56353846153846
06/08/1987,9.56353846153846
06/15/1987,9.56353846153846
06/22/1987,9.56353846153846
06/29/1987,9.56353846153846
07/06/1987,9.56353846153846
07/13/1987,9.56353846153846
07/20/1987,9.56353846153846
07/27/1987,9.56353846153846
08/03/1987,9.56353846153846
08/10/1987,9.56353846153846
08/17/1987,9.56353846153846
08/24/1987,9.56353846153846
08/31/1987,9.56353846153846
09/07/1987,9.56353846153846
09/14/1987,9.56353846153846
09/21/1987,9.56353846153846
09/28/1987,9.56353846153846
10/05/1987,9.56353846153846
10/12/1987,9.56353846153846
10/19/1987,9.56353846153846
10/26/1987,9.56353846153846
11/02/1987,9.56353846153846
