,Road Transport Related Tax Revenue: % of Total Environmental Tax Revenue
Region,Sri Lanka
Subnational,
Frequency,Weekly beginning at Monday
Unit,%
Source,Organisation for Economic Co-operation and Development
Status,Active
Series ID,539197047
SR Code,SR221756767
Trade Code,
Mnemonic,
Function Description,DISAGGREGATE(Weekly; Sunday; Distribute)
First Obs. Date,01/02/2006
Last Obs. Date,12/26/2022
Last Update Time,21/10/2024
Series remarks,
Suggestions,
Mean,1.0943517474633604
Variance,0.1826520831685121
Standard Deviation,0.42737815008316943
Skewness,-0.591256572289203
Kurtosis,-0.9706618316384015
Coefficient Variation,0.39053087919291535
Min,0.23423076923076921
Max,1.6421153846153846
Median,1.488846153846154
Sum,
Subtract,
11/06/2006,1.04442307692308
11/13/2006,1.04442307692308
11/20/2006,1.04442307692308
11/27/2006,1.04442307692308
12/04/2006,1.04442307692308
12/11/2006,1.04442307692308
12/18/2006,1.04442307692308
12/25/2006,1.04442307692308
01/01/2007,0.89924528301887
01/08/2007,0.89924528301887
01/15/2007,0.89924528301887
01/22/2007,0.89924528301887
01/29/2007,0.89924528301887
02/05/2007,0.89924528301887
02/12/2007,0.89924528301887
02/19/2007,0.89924528301887
02/26/2007,0.89924528301887
03/05/2007,0.89924528301887
03/12/2007,0.89924528301887
03/19/2007,0.89924528301887
03/26/2007,0.89924528301887
04/02/2007,0.89924528301887
04/09/2007,0.89924528301887
04/16/2007,0.89924528301887
04/23/2007,0.89924528301887
04/30/2007,0.89924528301887
05/07/2007,0.89924528301887
05/14/2007,0.89924528301887
05/21/2007,0.89924528301887
05/28/2007,0.89924528301887
06/04/2007,0.89924528301887
06/11/2007,0.89924528301887
06/18/2007,0.89924528301887
06/25/2007,0.89924528301887
07/02/2007,0.89924528301887
07/09/2007,0.89924528301887
07/16/2007,0.89924528301887
07/23/2007,0.89924528301887
07/30/2007,0.89924528301887
08/06/2007,0.89924528301887
08/13/2007,0.89924528301887
08/20/2007,0.89924528301887
08/27/2007,0.89924528301887
09/03/2007,0.89924528301887
09/10/2007,0.89924528301887
09/17/2007,0.89924528301887
09/24/2007,0.89924528301887
10/01/2007,0.89924528301887
10/08/2007,0.89924528301887
10/15/2007,0.89924528301887
10/22/2007,0.89924528301887
10/29/2007,0.89924528301887
11/05/2007,0.89924528301887
11/12/2007,0.89924528301887
11/19/2007,0.89924528301887
11/26/2007,0.89924528301887
12/03/2007,0.89924528301887
12/10/2007,0.89924528301887
12/17/2007,0.89924528301887
12/24/2007,0.89924528301887
12/31/2007,0.89924528301887
01/07/2008,0.70846153846154
01/14/2008,0.70846153846154
01/21/2008,0.70846153846154
01/28/2008,0.70846153846154
02/04/2008,0.70846153846154
02/11/2008,0.70846153846154
02/18/2008,0.70846153846154
02/25/2008,0.70846153846154
03/03/2008,0.70846153846154
03/10/2008,0.70846153846154
03/17/2008,0.70846153846154
03/24/2008,0.70846153846154
03/31/2008,0.70846153846154
04/07/2008,0.70846153846154
04/14/2008,0.70846153846154
04/21/2008,0.70846153846154
04/28/2008,0.70846153846154
05/05/2008,0.70846153846154
05/12/2008,0.70846153846154
05/19/2008,0.70846153846154
05/26/2008,0.70846153846154
06/02/2008,0.70846153846154
06/09/2008,0.70846153846154
06/16/2008,0.70846153846154
06/23/2008,0.70846153846154
06/30/2008,0.70846153846154
07/07/2008,0.70846153846154
07/14/2008,0.70846153846154
07/21/2008,0.70846153846154
07/28/2008,0.70846153846154
08/04/2008,0.70846153846154
08/11/2008,0.70846153846154
08/18/2008,0.70846153846154
08/25/2008,0.70846153846154
09/01/2008,0.70846153846154
09/08/2008,0.70846153846154
09/15/2008,0.70846153846154
09/22/2008,0.70846153846154
09/29/2008,0.70846153846154
10/06/2008,0.70846153846154
10/13/2008,0.70846153846154
10/20/2008,0.70846153846154
10/27/2008,0.70846153846154
11/03/2008,0.70846153846154
11/10/2008,0.70846153846154
11/17/2008,0.70846153846154
11/24/2008,0.70846153846154
12/01/2008,0.70846153846154
12/08/2008,0.70846153846154
12/15/2008,0.70846153846154
12/22/2008,0.70846153846154
12/29/2008,0.70846153846154
01/05/2009,0.23423076923077
01/12/2009,0.23423076923077
01/19/2009,0.23423076923077
01/26/2009,0.23423076923077
02/02/2009,0.23423076923077
02/09/2009,0.23423076923077
02/16/2009,0.23423076923077
02/23/2009,0.23423076923077
03/02/2009,0.23423076923077
03/09/2009,0.23423076923077
03/16/2009,0.23423076923077
03/23/2009,0.23423076923077
03/30/2009,0.23423076923077
04/06/2009,0.23423076923077
04/13/2009,0.23423076923077
04/20/2009,0.23423076923077
04/27/2009,0.23423076923077
05/04/2009,0.23423076923077
05/11/2009,0.23423076923077
05/18/2009,0.23423076923077
05/25/2009,0.23423076923077
06/01/2009,0.23423076923077
06/08/2009,0.23423076923077
06/15/2009,0.23423076923077
06/22/2009,0.23423076923077
06/29/2009,0.23423076923077
07/06/2009,0.23423076923077
07/13/2009,0.23423076923077
07/20/2009,0.23423076923077
07/27/2009,0.23423076923077
08/03/2009,0.23423076923077
08/10/2009,0.23423076923077
08/17/2009,0.23423076923077
08/24/2009,0.23423076923077
08/31/2009,0.23423076923077
09/07/2009,0.23423076923077
09/14/2009,0.23423076923077
09/21/2009,0.23423076923077
09/28/2009,0.23423076923077
10/05/2009,0.23423076923077
10/12/2009,0.23423076923077
10/19/2009,0.23423076923077
10/26/2009,0.23423076923077
11/02/2009,0.23423076923077
11/09/2009,0.23423076923077
11/16/2009,0.23423076923077
11/23/2009,0.23423076923077
11/30/2009,0.23423076923077
12/07/2009,0.23423076923077
12/14/2009,0.23423076923077
12/21/2009,0.23423076923077
12/28/2009,0.23423076923077
01/04/2010,0.82807692307692
01/11/2010,0.82807692307692
01/18/2010,0.82807692307692
01/25/2010,0.82807692307692
02/01/2010,0.82807692307692
02/08/2010,0.82807692307692
02/15/2010,0.82807692307692
02/22/2010,0.82807692307692
03/01/2010,0.82807692307692
03/08/2010,0.82807692307692
03/15/2010,0.82807692307692
03/22/2010,0.82807692307692
03/29/2010,0.82807692307692
04/05/2010,0.82807692307692
04/12/2010,0.82807692307692
04/19/2010,0.82807692307692
04/26/2010,0.82807692307692
05/03/2010,0.82807692307692
05/10/2010,0.82807692307692
05/17/2010,0.82807692307692
05/24/2010,0.82807692307692
05/31/2010,0.82807692307692
06/07/2010,0.82807692307692
06/14/2010,0.82807692307692
06/21/2010,0.82807692307692
06/28/2010,0.82807692307692
07/05/2010,0.82807692307692
07/12/2010,0.82807692307692
07/19/2010,0.82807692307692
07/26/2010,0.82807692307692
08/02/2010,0.82807692307692
08/09/2010,0.82807692307692
08/16/2010,0.82807692307692
08/23/2010,0.82807692307692
08/30/2010,0.82807692307692
09/06/2010,0.82807692307692
09/13/2010,0.82807692307692
09/20/2010,0.82807692307692
09/27/2010,0.82807692307692
10/04/2010,0.82807692307692
10/11/2010,0.82807692307692
10/18/2010,0.82807692307692
10/25/2010,0.82807692307692
11/01/2010,0.82807692307692
11/08/2010,0.82807692307692
11/15/2010,0.82807692307692
11/22/2010,0.82807692307692
11/29/2010,0.82807692307692
12/06/2010,0.82807692307692
12/13/2010,0.82807692307692
12/20/2010,0.82807692307692
12/27/2010,0.82807692307692
01/03/2011,1.46403846153846
01/10/2011,1.46403846153846
01/17/2011,1.46403846153846
01/24/2011,1.46403846153846
01/31/2011,1.46403846153846
02/07/2011,1.46403846153846
02/14/2011,1.46403846153846
02/21/2011,1.46403846153846
02/28/2011,1.46403846153846
03/07/2011,1.46403846153846
03/14/2011,1.46403846153846
03/21/2011,1.46403846153846
03/28/2011,1.46403846153846
04/04/2011,1.46403846153846
04/11/2011,1.46403846153846
04/18/2011,1.46403846153846
04/25/2011,1.46403846153846
05/02/2011,1.46403846153846
05/09/2011,1.46403846153846
05/16/2011,1.46403846153846
05/23/2011,1.46403846153846
05/30/2011,1.46403846153846
06/06/2011,1.46403846153846
06/13/2011,1.46403846153846
06/20/2011,1.46403846153846
06/27/2011,1.46403846153846
07/04/2011,1.46403846153846
07/11/2011,1.46403846153846
07/18/2011,1.46403846153846
07/25/2011,1.46403846153846
08/01/2011,1.46403846153846
08/08/2011,1.46403846153846
08/15/2011,1.46403846153846
08/22/2011,1.46403846153846
08/29/2011,1.46403846153846
09/05/2011,1.46403846153846
09/12/2011,1.46403846153846
09/19/2011,1.46403846153846
09/26/2011,1.46403846153846
10/03/2011,1.46403846153846
10/10/2011,1.46403846153846
10/17/2011,1.46403846153846
10/24/2011,1.46403846153846
10/31/2011,1.46403846153846
11/07/2011,1.46403846153846
11/14/2011,1.46403846153846
11/21/2011,1.46403846153846
11/28/2011,1.46403846153846
12/05/2011,1.46403846153846
12/12/2011,1.46403846153846
12/19/2011,1.46403846153846
12/26/2011,1.46403846153846
01/02/2012,1.38471698113208
01/09/2012,1.38471698113208
01/16/2012,1.38471698113208
01/23/2012,1.38471698113208
01/30/2012,1.38471698113208
02/06/2012,1.38471698113208
02/13/2012,1.38471698113208
02/20/2012,1.38471698113208
02/27/2012,1.38471698113208
03/05/2012,1.38471698113208
03/12/2012,1.38471698113208
03/19/2012,1.38471698113208
03/26/2012,1.38471698113208
04/02/2012,1.38471698113208
04/09/2012,1.38471698113208
04/16/2012,1.38471698113208
04/23/2012,1.38471698113208
04/30/2012,1.38471698113208
05/07/2012,1.38471698113208
05/14/2012,1.38471698113208
05/21/2012,1.38471698113208
05/28/2012,1.38471698113208
06/04/2012,1.38471698113208
06/11/2012,1.38471698113208
06/18/2012,1.38471698113208
06/25/2012,1.38471698113208
07/02/2012,1.38471698113208
07/09/2012,1.38471698113208
07/16/2012,1.38471698113208
07/23/2012,1.38471698113208
07/30/2012,1.38471698113208
08/06/2012,1.38471698113208
08/13/2012,1.38471698113208
08/20/2012,1.38471698113208
08/27/2012,1.38471698113208
09/03/2012,1.38471698113208
09/10/2012,1.38471698113208
09/17/2012,1.38471698113208
09/24/2012,1.38471698113208
10/01/2012,1.38471698113208
10/08/2012,1.38471698113208
10/15/2012,1.38471698113208
10/22/2012,1.38471698113208
10/29/2012,1.38471698113208
11/05/2012,1.38471698113208
11/12/2012,1.38471698113208
11/19/2012,1.38471698113208
11/26/2012,1.38471698113208
12/03/2012,1.38471698113208
12/10/2012,1.38471698113208
12/17/2012,1.38471698113208
12/24/2012,1.38471698113208
12/31/2012,1.38471698113208
01/07/2013,1.50096153846154
01/14/2013,1.50096153846154
01/21/2013,1.50096153846154
01/28/2013,1.50096153846154
02/04/2013,1.50096153846154
02/11/2013,1.50096153846154
02/18/2013,1.50096153846154
02/25/2013,1.50096153846154
03/04/2013,1.50096153846154
03/11/2013,1.50096153846154
03/18/2013,1.50096153846154
03/25/2013,1.50096153846154
04/01/2013,1.50096153846154
04/08/2013,1.50096153846154
04/15/2013,1.50096153846154
04/22/2013,1.50096153846154
04/29/2013,1.50096153846154
05/06/2013,1.50096153846154
05/13/2013,1.50096153846154
05/20/2013,1.50096153846154
05/27/2013,1.50096153846154
06/03/2013,1.50096153846154
06/10/2013,1.50096153846154
06/17/2013,1.50096153846154
06/24/2013,1.50096153846154
07/01/2013,1.50096153846154
07/08/2013,1.50096153846154
07/15/2013,1.50096153846154
07/22/2013,1.50096153846154
07/29/2013,1.50096153846154
08/05/2013,1.50096153846154
08/12/2013,1.50096153846154
08/19/2013,1.50096153846154
08/26/2013,1.50096153846154
09/02/2013,1.50096153846154
09/09/2013,1.50096153846154
09/16/2013,1.50096153846154
09/23/2013,1.50096153846154
09/30/2013,1.50096153846154
10/07/2013,1.50096153846154
10/14/2013,1.50096153846154
10/21/2013,1.50096153846154
10/28/2013,1.50096153846154
11/04/2013,1.50096153846154
11/11/2013,1.50096153846154
11/18/2013,1.50096153846154
11/25/2013,1.50096153846154
12/02/2013,1.50096153846154
12/09/2013,1.50096153846154
12/16/2013,1.50096153846154
12/23/2013,1.50096153846154
12/30/2013,1.50096153846154
01/06/2014,1.48884615384615
01/13/2014,1.48884615384615
01/20/2014,1.48884615384615
01/27/2014,1.48884615384615
02/03/2014,1.48884615384615
02/10/2014,1.48884615384615
02/17/2014,1.48884615384615
02/24/2014,1.48884615384615
03/03/2014,1.48884615384615
03/10/2014,1.48884615384615
03/17/2014,1.48884615384615
03/24/2014,1.48884615384615
03/31/2014,1.48884615384615
04/07/2014,1.48884615384615
04/14/2014,1.48884615384615
04/21/2014,1.48884615384615
04/28/2014,1.48884615384615
05/05/2014,1.48884615384615
05/12/2014,1.48884615384615
05/19/2014,1.48884615384615
05/26/2014,1.48884615384615
06/02/2014,1.48884615384615
06/09/2014,1.48884615384615
06/16/2014,1.48884615384615
06/23/2014,1.48884615384615
06/30/2014,1.48884615384615
07/07/2014,1.48884615384615
07/14/2014,1.48884615384615
07/21/2014,1.48884615384615
07/28/2014,1.48884615384615
08/04/2014,1.48884615384615
08/11/2014,1.48884615384615
08/18/2014,1.48884615384615
08/25/2014,1.48884615384615
09/01/2014,1.48884615384615
09/08/2014,1.48884615384615
09/15/2014,1.48884615384615
09/22/2014,1.48884615384615
09/29/2014,1.48884615384615
10/06/2014,1.48884615384615
10/13/2014,1.48884615384615
10/20/2014,1.48884615384615
10/27/2014,1.48884615384615
11/03/2014,1.48884615384615
11/10/2014,1.48884615384615
11/17/2014,1.48884615384615
11/24/2014,1.48884615384615
12/01/2014,1.48884615384615
12/08/2014,1.48884615384615
12/15/2014,1.48884615384615
12/22/2014,1.48884615384615
12/29/2014,1.48884615384615
01/05/2015,1.64211538461538
01/12/2015,1.64211538461538
01/19/2015,1.64211538461538
01/26/2015,1.64211538461538
02/02/2015,1.64211538461538
02/09/2015,1.64211538461538
02/16/2015,1.64211538461538
02/23/2015,1.64211538461538
03/02/2015,1.64211538461538
03/09/2015,1.64211538461538
03/16/2015,1.64211538461538
03/23/2015,1.64211538461538
03/30/2015,1.64211538461538
04/06/2015,1.64211538461538
04/13/2015,1.64211538461538
04/20/2015,1.64211538461538
04/27/2015,1.64211538461538
05/04/2015,1.64211538461538
05/11/2015,1.64211538461538
05/18/2015,1.64211538461538
05/25/2015,1.64211538461538
06/01/2015,1.64211538461538
06/08/2015,1.64211538461538
06/15/2015,1.64211538461538
06/22/2015,1.64211538461538
06/29/2015,1.64211538461538
07/06/2015,1.64211538461538
07/13/2015,1.64211538461538
07/20/2015,1.64211538461538
07/27/2015,1.64211538461538
08/03/2015,1.64211538461538
08/10/2015,1.64211538461538
08/17/2015,1.64211538461538
08/24/2015,1.64211538461538
08/31/2015,1.64211538461538
09/07/2015,1.64211538461538
09/14/2015,1.64211538461538
09/21/2015,1.64211538461538
09/28/2015,1.64211538461538
10/05/2015,1.64211538461538
10/12/2015,1.64211538461538
10/19/2015,1.64211538461538
10/26/2015,1.64211538461538
11/02/2015,1.64211538461538
11/09/2015,1.64211538461538
11/16/2015,1.64211538461538
11/23/2015,1.64211538461538
11/30/2015,1.64211538461538
12/07/2015,1.64211538461538
12/14/2015,1.64211538461538
12/21/2015,1.64211538461538
12/28/2015,1.64211538461538
01/04/2016,1.48076923076923
01/11/2016,1.48076923076923
01/18/2016,1.48076923076923
01/25/2016,1.48076923076923
02/01/2016,1.48076923076923
02/08/2016,1.48076923076923
02/15/2016,1.48076923076923
02/22/2016,1.48076923076923
02/29/2016,1.48076923076923
03/07/2016,1.48076923076923
03/14/2016,1.48076923076923
03/21/2016,1.48076923076923
03/28/2016,1.48076923076923
04/04/2016,1.48076923076923
04/11/2016,1.48076923076923
04/18/2016,1.48076923076923
04/25/2016,1.48076923076923
05/02/2016,1.48076923076923
05/09/2016,1.48076923076923
05/16/2016,1.48076923076923
05/23/2016,1.48076923076923
05/30/2016,1.48076923076923
06/06/2016,1.48076923076923
06/13/2016,1.48076923076923
06/20/2016,1.48076923076923
06/27/2016,1.48076923076923
07/04/2016,1.48076923076923
07/11/2016,1.48076923076923
07/18/2016,1.48076923076923
07/25/2016,1.48076923076923
08/01/2016,1.48076923076923
08/08/2016,1.48076923076923
08/15/2016,1.48076923076923
08/22/2016,1.48076923076923
08/29/2016,1.48076923076923
09/05/2016,1.48076923076923
09/12/2016,1.48076923076923
09/19/2016,1.48076923076923
09/26/2016,1.48076923076923
10/03/2016,1.48076923076923
10/10/2016,1.48076923076923
10/17/2016,1.48076923076923
10/24/2016,1.48076923076923
10/31/2016,1.48076923076923
11/07/2016,1.48076923076923
11/14/2016,1.48076923076923
11/21/2016,1.48076923076923
11/28/2016,1.48076923076923
12/05/2016,1.48076923076923
12/12/2016,1.48076923076923
12/19/2016,1.48076923076923
12/26/2016,1.48076923076923
01/02/2017,1.38365384615385
01/09/2017,1.38365384615385
01/16/2017,1.38365384615385
01/23/2017,1.38365384615385
01/30/2017,1.38365384615385
02/06/2017,1.38365384615385
02/13/2017,1.38365384615385
02/20/2017,1.38365384615385
02/27/2017,1.38365384615385
03/06/2017,1.38365384615385
03/13/2017,1.38365384615385
03/20/2017,1.38365384615385
03/27/2017,1.38365384615385
04/03/2017,1.38365384615385
04/10/2017,1.38365384615385
04/17/2017,1.38365384615385
04/24/2017,1.38365384615385
05/01/2017,1.38365384615385
05/08/2017,1.38365384615385
05/15/2017,1.38365384615385
05/22/2017,1.38365384615385
05/29/2017,1.38365384615385
06/05/2017,1.38365384615385
06/12/2017,1.38365384615385
06/19/2017,1.38365384615385
06/26/2017,1.38365384615385
07/03/2017,1.38365384615385
07/10/2017,1.38365384615385
07/17/2017,1.38365384615385
07/24/2017,1.38365384615385
07/31/2017,1.38365384615385
08/07/2017,1.38365384615385
08/14/2017,1.38365384615385
08/21/2017,1.38365384615385
08/28/2017,1.38365384615385
09/04/2017,1.38365384615385
09/11/2017,1.38365384615385
09/18/2017,1.38365384615385
09/25/2017,1.38365384615385
10/02/2017,1.38365384615385
10/09/2017,1.38365384615385
10/16/2017,1.38365384615385
10/23/2017,1.38365384615385
10/30/2017,1.38365384615385
11/06/2017,1.38365384615385
11/13/2017,1.38365384615385
11/20/2017,1.38365384615385
11/27/2017,1.38365384615385
12/04/2017,1.38365384615385
12/11/2017,1.38365384615385
12/18/2017,1.38365384615385
12/25/2017,1.38365384615385
01/01/2018,1.42396226415094
01/08/2018,1.42396226415094
01/15/2018,1.42396226415094
01/22/2018,1.42396226415094
01/29/2018,1.42396226415094
02/05/2018,1.42396226415094
02/12/2018,1.42396226415094
02/19/2018,1.42396226415094
02/26/2018,1.42396226415094
03/05/2018,1.42396226415094
03/12/2018,1.42396226415094
03/19/2018,1.42396226415094
03/26/2018,1.42396226415094
04/02/2018,1.42396226415094
04/09/2018,1.42396226415094
04/16/2018,1.42396226415094
04/23/2018,1.42396226415094
04/30/2018,1.42396226415094
05/07/2018,1.42396226415094
05/14/2018,1.42396226415094
05/21/2018,1.42396226415094
05/28/2018,1.42396226415094
06/04/2018,1.42396226415094
06/11/2018,1.42396226415094
06/18/2018,1.42396226415094
06/25/2018,1.42396226415094
07/02/2018,1.42396226415094
07/09/2018,1.42396226415094
07/16/2018,1.42396226415094
07/23/2018,1.42396226415094
07/30/2018,1.42396226415094
08/06/2018,1.42396226415094
08/13/2018,1.42396226415094
08/20/2018,1.42396226415094
08/27/2018,1.42396226415094
09/03/2018,1.42396226415094
09/10/2018,1.42396226415094
09/17/2018,1.42396226415094
09/24/2018,1.42396226415094
10/01/2018,1.42396226415094
10/08/2018,1.42396226415094
10/15/2018,1.42396226415094
10/22/2018,1.42396226415094
10/29/2018,1.42396226415094
11/05/2018,1.42396226415094
11/12/2018,1.42396226415094
11/19/2018,1.42396226415094
11/26/2018,1.42396226415094
12/03/2018,1.42396226415094
12/10/2018,1.42396226415094
12/17/2018,1.42396226415094
12/24/2018,1.42396226415094
12/31/2018,1.42396226415094
01/07/2019,1.305
01/14/2019,1.305
01/21/2019,1.305
01/28/2019,1.305
02/04/2019,1.305
02/11/2019,1.305
02/18/2019,1.305
02/25/2019,1.305
03/04/2019,1.305
03/11/2019,1.305
03/18/2019,1.305
03/25/2019,1.305
04/01/2019,1.305
04/08/2019,1.305
04/15/2019,1.305
04/22/2019,1.305
04/29/2019,1.305
05/06/2019,1.305
05/13/2019,1.305
05/20/2019,1.305
05/27/2019,1.305
06/03/2019,1.305
06/10/2019,1.305
06/17/2019,1.305
06/24/2019,1.305
07/01/2019,1.305
07/08/2019,1.305
07/15/2019,1.305
07/22/2019,1.305
07/29/2019,1.305
08/05/2019,1.305
08/12/2019,1.305
08/19/2019,1.305
08/26/2019,1.305
09/02/2019,1.305
09/09/2019,1.305
09/16/2019,1.305
09/23/2019,1.305
09/30/2019,1.305
10/07/2019,1.305
10/14/2019,1.305
10/21/2019,1.305
10/28/2019,1.305
11/04/2019,1.305
11/11/2019,1.305
11/18/2019,1.305
11/25/2019,1.305
12/02/2019,1.305
12/09/2019,1.305
12/16/2019,1.305
12/23/2019,1.305
12/30/2019,1.305
01/06/2020,0.92038461538462
01/13/2020,0.92038461538462
01/20/2020,0.92038461538462
01/27/2020,0.92038461538462
02/03/2020,0.92038461538462
02/10/2020,0.92038461538462
02/17/2020,0.92038461538462
02/24/2020,0.92038461538462
03/02/2020,0.92038461538462
03/09/2020,0.92038461538462
03/16/2020,0.92038461538462
03/23/2020,0.92038461538462
03/30/2020,0.92038461538462
04/06/2020,0.92038461538462
04/13/2020,0.92038461538462
04/20/2020,0.92038461538462
04/27/2020,0.92038461538462
05/04/2020,0.92038461538462
05/11/2020,0.92038461538462
05/18/2020,0.92038461538462
05/25/2020,0.92038461538462
06/01/2020,0.92038461538462
06/08/2020,0.92038461538462
06/15/2020,0.92038461538462
06/22/2020,0.92038461538462
06/29/2020,0.92038461538462
07/06/2020,0.92038461538462
07/13/2020,0.92038461538462
07/20/2020,0.92038461538462
07/27/2020,0.92038461538462
08/03/2020,0.92038461538462
08/10/2020,0.92038461538462
08/17/2020,0.92038461538462
08/24/2020,0.92038461538462
08/31/2020,0.92038461538462
09/07/2020,0.92038461538462
09/14/2020,0.92038461538462
09/21/2020,0.92038461538462
09/28/2020,0.92038461538462
10/05/2020,0.92038461538462
10/12/2020,0.92038461538462
10/19/2020,0.92038461538462
10/26/2020,0.92038461538462
11/02/2020,0.92038461538462
11/09/2020,0.92038461538462
11/16/2020,0.92038461538462
11/23/2020,0.92038461538462
11/30/2020,0.92038461538462
12/07/2020,0.92038461538462
12/14/2020,0.92038461538462
12/21/2020,0.92038461538462
12/28/2020,0.92038461538462
01/04/2021,0.47423076923077
01/11/2021,0.47423076923077
01/18/2021,0.47423076923077
01/25/2021,0.47423076923077
02/01/2021,0.47423076923077
02/08/2021,0.47423076923077
02/15/2021,0.47423076923077
02/22/2021,0.47423076923077
03/01/2021,0.47423076923077
03/08/2021,0.47423076923077
03/15/2021,0.47423076923077
03/22/2021,0.47423076923077
03/29/2021,0.47423076923077
04/05/2021,0.47423076923077
04/12/2021,0.47423076923077
04/19/2021,0.47423076923077
04/26/2021,0.47423076923077
05/03/2021,0.47423076923077
05/10/2021,0.47423076923077
05/17/2021,0.47423076923077
05/24/2021,0.47423076923077
05/31/2021,0.47423076923077
06/07/2021,0.47423076923077
06/14/2021,0.47423076923077
06/21/2021,0.47423076923077
06/28/2021,0.47423076923077
07/05/2021,0.47423076923077
07/12/2021,0.47423076923077
07/19/2021,0.47423076923077
07/26/2021,0.47423076923077
08/02/2021,0.47423076923077
08/09/2021,0.47423076923077
08/16/2021,0.47423076923077
08/23/2021,0.47423076923077
08/30/2021,0.47423076923077
09/06/2021,0.47423076923077
09/13/2021,0.47423076923077
09/20/2021,0.47423076923077
09/27/2021,0.47423076923077
10/04/2021,0.47423076923077
10/11/2021,0.47423076923077
10/18/2021,0.47423076923077
10/25/2021,0.47423076923077
11/01/2021,0.47423076923077
11/08/2021,0.47423076923077
11/15/2021,0.47423076923077
11/22/2021,0.47423076923077
11/29/2021,0.47423076923077
12/06/2021,0.47423076923077
12/13/2021,0.47423076923077
12/20/2021,0.47423076923077
12/27/2021,0.47423076923077
01/03/2022,0.41269230769231
01/10/2022,0.41269230769231
01/17/2022,0.41269230769231
01/24/2022,0.41269230769231
01/31/2022,0.41269230769231
02/07/2022,0.41269230769231
02/14/2022,0.41269230769231
02/21/2022,0.41269230769231
02/28/2022,0.41269230769231
03/07/2022,0.41269230769231
03/14/2022,0.41269230769231
03/21/2022,0.41269230769231
03/28/2022,0.41269230769231
04/04/2022,0.41269230769231
04/11/2022,0.41269230769231
04/18/2022,0.41269230769231
04/25/2022,0.41269230769231
05/02/2022,0.41269230769231
05/09/2022,0.41269230769231
05/16/2022,0.41269230769231
05/23/2022,0.41269230769231
05/30/2022,0.41269230769231
06/06/2022,0.41269230769231
06/13/2022,0.41269230769231
06/20/2022,0.41269230769231
06/27/2022,0.41269230769231
07/04/2022,0.41269230769231
07/11/2022,0.41269230769231
07/18/2022,0.41269230769231
07/25/2022,0.41269230769231
08/01/2022,0.41269230769231
08/08/2022,0.41269230769231
08/15/2022,0.41269230769231
08/22/2022,0.41269230769231
08/29/2022,0.41269230769231
09/05/2022,0.41269230769231
09/12/2022,0.41269230769231
09/19/2022,0.41269230769231
09/26/2022,0.41269230769231
10/03/2022,0.41269230769231
10/10/2022,0.41269230769231
10/17/2022,0.41269230769231
10/24/2022,0.41269230769231
10/31/2022,0.41269230769231
11/07/2022,0.41269230769231
11/14/2022,0.41269230769231
11/21/2022,0.41269230769231
11/28/2022,0.41269230769231
12/05/2022,0.41269230769231
12/12/2022,0.41269230769231
12/19/2022,0.41269230769231
12/26/2022,0.41269230769231
