,Refined Products: Demand: Local Sales: Gasoline: 90 Octane: Annual
Region,Sri Lanka
Subnational,
Frequency,Weekly beginning at Monday
Unit,Metric Ton th
Source,Central Bank of Sri Lanka
Status,Active
Series ID,107583801 (LBKFAA)
SR Code,SR1070231
Trade Code,
Mnemonic,
Function Description,DISAGGREGATE(Weekly; Sunday; Distribute)
First Obs. Date,01/07/1991
Last Obs. Date,12/26/2022
Last Update Time,27/04/2023
Series remarks,
Suggestions,
Mean,10.881321150389436
Variance,50.47557278940363
Standard Deviation,7.104616301349681
Skewness,0.5763967317563247
Kurtosis,-1.0700178900463058
Coefficient Variation,0.6529185383978315
Min,3.072403846153846
Max,24.403846153846153
Median,9.18867924528302
Sum,
Subtract,
No. of Obs,1669
01/07/1991,3.07240384615385
01/14/1991,3.07240384615385
01/21/1991,3.07240384615385
01/28/1991,3.07240384615385
02/04/1991,3.07240384615385
02/11/1991,3.07240384615385
02/18/1991,3.07240384615385
02/25/1991,3.07240384615385
03/04/1991,3.07240384615385
03/11/1991,3.07240384615385
03/18/1991,3.07240384615385
03/25/1991,3.07240384615385
04/01/1991,3.07240384615385
04/08/1991,3.07240384615385
04/15/1991,3.07240384615385
04/22/1991,3.07240384615385
04/29/1991,3.07240384615385
05/06/1991,3.07240384615385
05/13/1991,3.07240384615385
05/20/1991,3.07240384615385
05/27/1991,3.07240384615385
06/03/1991,3.07240384615385
06/10/1991,3.07240384615385
06/17/1991,3.07240384615385
06/24/1991,3.07240384615385
07/01/1991,3.07240384615385
07/08/1991,3.07240384615385
07/15/1991,3.07240384615385
07/22/1991,3.07240384615385
07/29/1991,3.07240384615385
08/05/1991,3.07240384615385
08/12/1991,3.07240384615385
08/19/1991,3.07240384615385
08/26/1991,3.07240384615385
09/02/1991,3.07240384615385
09/09/1991,3.07240384615385
09/16/1991,3.07240384615385
09/23/1991,3.07240384615385
09/30/1991,3.07240384615385
10/07/1991,3.07240384615385
10/14/1991,3.07240384615385
10/21/1991,3.07240384615385
10/28/1991,3.07240384615385
11/04/1991,3.07240384615385
11/11/1991,3.07240384615385
11/18/1991,3.07240384615385
11/25/1991,3.07240384615385
12/02/1991,3.07240384615385
12/09/1991,3.07240384615385
12/16/1991,3.07240384615385
12/23/1991,3.07240384615385
12/30/1991,3.07240384615385
01/06/1992,3.17067307692308
01/13/1992,3.17067307692308
01/20/1992,3.17067307692308
01/27/1992,3.17067307692308
02/03/1992,3.17067307692308
02/10/1992,3.17067307692308
02/17/1992,3.17067307692308
02/24/1992,3.17067307692308
03/02/1992,3.17067307692308
03/09/1992,3.17067307692308
03/16/1992,3.17067307692308
03/23/1992,3.17067307692308
03/30/1992,3.17067307692308
04/06/1992,3.17067307692308
04/13/1992,3.17067307692308
04/20/1992,3.17067307692308
04/27/1992,3.17067307692308
05/04/1992,3.17067307692308
05/11/1992,3.17067307692308
05/18/1992,3.17067307692308
05/25/1992,3.17067307692308
06/01/1992,3.17067307692308
06/08/1992,3.17067307692308
06/15/1992,3.17067307692308
06/22/1992,3.17067307692308
06/29/1992,3.17067307692308
07/06/1992,3.17067307692308
07/13/1992,3.17067307692308
07/20/1992,3.17067307692308
07/27/1992,3.17067307692308
08/03/1992,3.17067307692308
08/10/1992,3.17067307692308
08/17/1992,3.17067307692308
08/24/1992,3.17067307692308
08/31/1992,3.17067307692308
09/07/1992,3.17067307692308
09/14/1992,3.17067307692308
09/21/1992,3.17067307692308
09/28/1992,3.17067307692308
10/05/1992,3.17067307692308
10/12/1992,3.17067307692308
10/19/1992,3.17067307692308
10/26/1992,3.17067307692308
11/02/1992,3.17067307692308
11/09/1992,3.17067307692308
11/16/1992,3.17067307692308
11/23/1992,3.17067307692308
11/30/1992,3.17067307692308
12/07/1992,3.17067307692308
12/14/1992,3.17067307692308
12/21/1992,3.17067307692308
12/28/1992,3.17067307692308
01/04/1993,3.32330769230769
01/11/1993,3.32330769230769
01/18/1993,3.32330769230769
01/25/1993,3.32330769230769
02/01/1993,3.32330769230769
02/08/1993,3.32330769230769
02/15/1993,3.32330769230769
02/22/1993,3.32330769230769
03/01/1993,3.32330769230769
03/08/1993,3.32330769230769
03/15/1993,3.32330769230769
03/22/1993,3.32330769230769
03/29/1993,3.32330769230769
04/05/1993,3.32330769230769
04/12/1993,3.32330769230769
04/19/1993,3.32330769230769
04/26/1993,3.32330769230769
05/03/1993,3.32330769230769
05/10/1993,3.32330769230769
05/17/1993,3.32330769230769
05/24/1993,3.32330769230769
05/31/1993,3.32330769230769
06/07/1993,3.32330769230769
06/14/1993,3.32330769230769
06/21/1993,3.32330769230769
06/28/1993,3.32330769230769
07/05/1993,3.32330769230769
07/12/1993,3.32330769230769
07/19/1993,3.32330769230769
07/26/1993,3.32330769230769
08/02/1993,3.32330769230769
08/09/1993,3.32330769230769
08/16/1993,3.32330769230769
08/23/1993,3.32330769230769
08/30/1993,3.32330769230769
09/06/1993,3.32330769230769
09/13/1993,3.32330769230769
09/20/1993,3.32330769230769
09/27/1993,3.32330769230769
10/04/1993,3.32330769230769
10/11/1993,3.32330769230769
10/18/1993,3.32330769230769
10/25/1993,3.32330769230769
11/01/1993,3.32330769230769
11/08/1993,3.32330769230769
11/15/1993,3.32330769230769
11/22/1993,3.32330769230769
11/29/1993,3.32330769230769
12/06/1993,3.32330769230769
12/13/1993,3.32330769230769
12/20/1993,3.32330769230769
12/27/1993,3.32330769230769
01/03/1994,3.53230769230769
01/10/1994,3.53230769230769
01/17/1994,3.53230769230769
01/24/1994,3.53230769230769
01/31/1994,3.53230769230769
