,"Revenue: Tax: Taxes on Income, Profits and Capital Gains"
Region,Sri Lanka
Subnational,
Frequency,Weekly beginning at Monday
Unit,LKR mn
Source,World Bank
Status,Active
Series ID,264131202
SR Code,SR5468529
Trade Code,
Mnemonic,
Function Description,DISAGGREGATE(Weekly; Sunday; Distribute)
First Obs. Date,01/01/1990
Last Obs. Date,12/25/2023
Last Update Time,16/01/2025
Series remarks,"Taxes on income, profits, and capital gains are levied on the actual or presumptive net income of individuals, on the profits of corporations and enterprises, and on capital gains, whether realized or not, on land, securities, and other assets. Intragovernmental payments are eliminated in consolidation.;International Monetary Fund, Government Finance Statistics Yearbook and data files.;;"
Suggestions,
Mean,2945.08658360495
Variance,12603677.869116029
Standard Deviation,3550.1658931824622
Skewness,2.2722706382919635
Kurtosis,6.186721924635577
Coefficient Variation,1.2054538270439783
Min,138.43396226415095
Max,17521.319897428653
Median,1547.7692307692307
Sum,
Subtract,
04/26/2004,795.615384615385
05/03/2004,795.615384615385
05/10/2004,795.615384615385
05/17/2004,795.615384615385
05/24/2004,795.615384615385
05/31/2004,795.615384615385
06/07/2004,795.615384615385
06/14/2004,795.615384615385
06/21/2004,795.615384615385
06/28/2004,795.615384615385
07/05/2004,795.615384615385
07/12/2004,795.615384615385
07/19/2004,795.615384615385
07/26/2004,795.615384615385
08/02/2004,795.615384615385
08/09/2004,795.615384615385
08/16/2004,795.615384615385
08/23/2004,795.615384615385
08/30/2004,795.615384615385
09/06/2004,795.615384615385
09/13/2004,795.615384615385
09/20/2004,795.615384615385
09/27/2004,795.615384615385
10/04/2004,795.615384615385
10/11/2004,795.615384615385
10/18/2004,795.615384615385
10/25/2004,795.615384615385
11/01/2004,795.615384615385
11/08/2004,795.615384615385
11/15/2004,795.615384615385
11/22/2004,795.615384615385
11/29/2004,795.615384615385
12/06/2004,795.615384615385
12/13/2004,795.615384615385
12/20/2004,795.615384615385
12/27/2004,795.615384615385
01/03/2005,1010.28846153846
01/10/2005,1010.28846153846
01/17/2005,1010.28846153846
01/24/2005,1010.28846153846
01/31/2005,1010.28846153846
02/07/2005,1010.28846153846
02/14/2005,1010.28846153846
02/21/2005,1010.28846153846
02/28/2005,1010.28846153846
03/07/2005,1010.28846153846
03/14/2005,1010.28846153846
03/21/2005,1010.28846153846
03/28/2005,1010.28846153846
04/04/2005,1010.28846153846
04/11/2005,1010.28846153846
04/18/2005,1010.28846153846
04/25/2005,1010.28846153846
05/02/2005,1010.28846153846
05/09/2005,1010.28846153846
05/16/2005,1010.28846153846
05/23/2005,1010.28846153846
05/30/2005,1010.28846153846
06/06/2005,1010.28846153846
06/13/2005,1010.28846153846
06/20/2005,1010.28846153846
06/27/2005,1010.28846153846
07/04/2005,1010.28846153846
07/11/2005,1010.28846153846
07/18/2005,1010.28846153846
07/25/2005,1010.28846153846
08/01/2005,1010.28846153846
08/08/2005,1010.28846153846
08/15/2005,1010.28846153846
08/22/2005,1010.28846153846
08/29/2005,1010.28846153846
09/05/2005,1010.28846153846
09/12/2005,1010.28846153846
09/19/2005,1010.28846153846
09/26/2005,1010.28846153846
10/03/2005,1010.28846153846
10/10/2005,1010.28846153846
10/17/2005,1010.28846153846
10/24/2005,1010.28846153846
10/31/2005,1010.28846153846
