,Refined Products: Demand: Local Sales: Gasoline: 95 Octane: Annual
Region,Sri Lanka
Subnational,
Frequency,Weekly beginning at Monday
Unit,Metric Ton th
Source,Central Bank of Sri Lanka
Status,Active
Series ID,107583901 (LBKFAB)
SR Code,SR1069964
Trade Code,
Mnemonic,
Function Description,DISAGGREGATE(Weekly; Sunday; Distribute)
First Obs. Date,01/04/1999
Last Obs. Date,12/26/2022
Last Update Time,27/04/2023
Series remarks,
Suggestions,
Mean,1.1693290734824289
Variance,1.1656296917700342
Standard Deviation,1.0796433169200068
Skewness,0.9038727601613965
Kurtosis,-0.5631930958056475
Coefficient Variation,0.923301525125579
Min,0.057692307692307696
Max,3.5660377358490565
Median,0.4230769230769231
Sum,
Subtract,
No. of Obs,1252
01/04/1999,0.05769230769231
01/11/1999,0.05769230769231
01/18/1999,0.05769230769231
01/25/1999,0.05769230769231
02/01/1999,0.05769230769231
02/08/1999,0.05769230769231
02/15/1999,0.05769230769231
02/22/1999,0.05769230769231
03/01/1999,0.05769230769231
03/08/1999,0.05769230769231
03/15/1999,0.05769230769231
03/22/1999,0.05769230769231
03/29/1999,0.05769230769231
04/05/1999,0.05769230769231
04/12/1999,0.05769230769231
04/19/1999,0.05769230769231
04/26/1999,0.05769230769231
05/03/1999,0.05769230769231
05/10/1999,0.05769230769231
05/17/1999,0.05769230769231
05/24/1999,0.05769230769231
05/31/1999,0.05769230769231
06/07/1999,0.05769230769231
06/14/1999,0.05769230769231
06/21/1999,0.05769230769231
06/28/1999,0.05769230769231
07/05/1999,0.05769230769231
07/12/1999,0.05769230769231
07/19/1999,0.05769230769231
07/26/1999,0.05769230769231
08/02/1999,0.05769230769231
08/09/1999,0.05769230769231
08/16/1999,0.05769230769231
08/23/1999,0.05769230769231
08/30/1999,0.05769230769231
09/06/1999,0.05769230769231
09/13/1999,0.05769230769231
09/20/1999,0.05769230769231
09/27/1999,0.05769230769231
10/04/1999,0.05769230769231
10/11/1999,0.05769230769231
10/18/1999,0.05769230769231
10/25/1999,0.05769230769231
