,Revenue: Tax: Taxes on International Trade: Customs and Other Import Duties as % of Tax Revenue
Region,Sri Lanka
Subnational,
Frequency,Weekly beginning at Monday
Unit,%
Source,World Bank
Status,Active
Series ID,264027002
SR Code,SR5466638
Trade Code,
Mnemonic,
Function Description,DISAGGREGATE(Weekly; Sunday; Distribute) > AGGREGATE(Yearly; December; Sum; No) > DISAGGREGATE(Weekly; Sunday; Replicate)
First Obs. Date,01/01/1990
Last Obs. Date,12/25/2023
Last Update Time,16/01/2025
Series remarks,"Customs and other import duties are all levies collected on goods that are entering the country or services delivered by nonresidents to residents. They include levies imposed for revenue or protection purposes and determined on a specific or ad valorem basis as long as they are restricted to imported goods or services.;International Monetary Fund, Government Finance Statistics Yearbook and data files.;;"
Suggestions,
Mean,18.40352543677563
Variance,32.18631178768314
Standard Deviation,5.673298140207611
Skewness,0.1973104691042868
Kurtosis,-0.9674750158901135
Coefficient Variation,0.3082723557341193
Min,8.853164549999997
Max,29.561587259999985
Median,12.293086260000017
Sum,
Subtract,
10/24/2011,9.34934426999999
10/31/2011,9.34934426999999
11/07/2011,9.34934426999999
11/14/2011,9.34934426999999
11/21/2011,9.34934426999999
11/28/2011,9.34934426999999
12/05/2011,9.34934426999999
12/12/2011,9.34934426999999
12/19/2011,9.34934426999999
12/26/2011,9.34934426999999
01/02/2012,23.83863767
01/09/2012,23.83863767
01/16/2012,23.83863767
01/23/2012,23.83863767
01/30/2012,23.83863767
02/06/2012,23.83863767
02/13/2012,23.83863767
02/20/2012,23.83863767
02/27/2012,23.83863767
03/05/2012,23.83863767
03/12/2012,23.83863767
03/19/2012,23.83863767
03/26/2012,23.83863767
04/02/2012,23.83863767
04/09/2012,23.83863767
04/16/2012,23.83863767
04/23/2012,23.83863767
04/30/2012,23.83863767
05/07/2012,23.83863767
05/14/2012,23.83863767
05/21/2012,23.83863767
05/28/2012,23.83863767
06/04/2012,23.83863767
06/11/2012,23.83863767
06/18/2012,23.83863767
06/25/2012,23.83863767
07/02/2012,23.83863767
07/09/2012,23.83863767
07/16/2012,23.83863767
07/23/2012,23.83863767
07/30/2012,23.83863767
08/06/2012,23.83863767
08/13/2012,23.83863767
08/20/2012,23.83863767
08/27/2012,23.83863767
09/03/2012,23.83863767
09/10/2012,23.83863767
09/17/2012,23.83863767
09/24/2012,23.83863767
10/01/2012,23.83863767
10/08/2012,23.83863767
10/15/2012,23.83863767
10/22/2012,23.83863767
10/29/2012,23.83863767
11/05/2012,23.83863767
11/12/2012,23.83863767
11/19/2012,23.83863767
11/26/2012,23.83863767
12/03/2012,23.83863767
12/10/2012,23.83863767
12/17/2012,23.83863767
12/24/2012,23.83863767
12/31/2012,23.83863767
01/07/2013,19.06918251
01/14/2013,19.06918251
01/21/2013,19.06918251
01/28/2013,19.06918251
02/04/2013,19.06918251
02/11/2013,19.06918251
02/18/2013,19.06918251
02/25/2013,19.06918251
03/04/2013,19.06918251
03/11/2013,19.06918251
03/18/2013,19.06918251
03/25/2013,19.06918251
04/01/2013,19.06918251
04/08/2013,19.06918251
04/15/2013,19.06918251
04/22/2013,19.06918251
04/29/2013,19.06918251
05/06/2013,19.06918251
05/13/2013,19.06918251
05/20/2013,19.06918251
05/27/2013,19.06918251
06/03/2013,19.06918251
06/10/2013,19.06918251
06/17/2013,19.06918251
06/24/2013,19.06918251
07/01/2013,19.06918251
07/08/2013,19.06918251
07/15/2013,19.06918251
07/22/2013,19.06918251
07/29/2013,19.06918251
08/05/2013,19.06918251
08/12/2013,19.06918251
08/19/2013,19.06918251
08/26/2013,19.06918251
09/02/2013,19.06918251
09/09/2013,19.06918251
09/16/2013,19.06918251
09/23/2013,19.06918251
09/30/2013,19.06918251
10/07/2013,19.06918251
10/14/2013,19.06918251
10/21/2013,19.06918251
10/28/2013,19.06918251
11/04/2013,19.06918251
11/11/2013,19.06918251
11/18/2013,19.06918251
11/25/2013,19.06918251
12/02/2013,19.06918251
12/09/2013,19.06918251
12/16/2013,19.06918251
12/23/2013,19.06918251
12/30/2013,19.06918251
01/06/2014,18.89662003
01/13/2014,18.89662003
01/20/2014,18.89662003
01/27/2014,18.89662003
02/03/2014,18.89662003
02/10/2014,18.89662003
02/17/2014,18.89662003
02/24/2014,18.89662003
03/03/2014,18.89662003
03/10/2014,18.89662003
03/17/2014,18.89662003
03/24/2014,18.89662003
03/31/2014,18.89662003
04/07/2014,18.89662003
04/14/2014,18.89662003
04/21/2014,18.89662003
04/28/2014,18.89662003
05/05/2014,18.89662003
05/12/2014,18.89662003
05/19/2014,18.89662003
05/26/2014,18.89662003
06/02/2014,18.89662003
06/09/2014,18.89662003
06/16/2014,18.89662003
06/23/2014,18.89662003
06/30/2014,18.89662003
07/07/2014,18.89662003
07/14/2014,18.89662003
07/21/2014,18.89662003
07/28/2014,18.89662003
08/04/2014,18.89662003
08/11/2014,18.89662003
08/18/2014,18.89662003
08/25/2014,18.89662003
09/01/2014,18.89662003
09/08/2014,18.89662003
09/15/2014,18.89662003
09/22/2014,18.89662003
09/29/2014,18.89662003
10/06/2014,18.89662003
10/13/2014,18.89662003
10/20/2014,18.89662003
10/27/2014,18.89662003
11/03/2014,18.89662003
11/10/2014,18.89662003
11/17/2014,18.89662003
11/24/2014,18.89662003
12/01/2014,18.89662003
12/08/2014,18.89662003
12/15/2014,18.89662003
12/22/2014,18.89662003
12/29/2014,18.89662003
01/05/2015,18.01537213
01/12/2015,18.01537213
01/19/2015,18.01537213
01/26/2015,18.01537213
02/02/2015,18.01537213
02/09/2015,18.01537213
02/16/2015,18.01537213
02/23/2015,18.01537213
03/02/2015,18.01537213
03/09/2015,18.01537213
03/16/2015,18.01537213
03/23/2015,18.01537213
03/30/2015,18.01537213
04/06/2015,18.01537213
04/13/2015,18.01537213
04/20/2015,18.01537213
04/27/2015,18.01537213
05/04/2015,18.01537213
05/11/2015,18.01537213
05/18/2015,18.01537213
05/25/2015,18.01537213
06/01/2015,18.01537213
06/08/2015,18.01537213
06/15/2015,18.01537213
06/22/2015,18.01537213
06/29/2015,18.01537213
07/06/2015,18.01537213
07/13/2015,18.01537213
07/20/2015,18.01537213
07/27/2015,18.01537213
08/03/2015,18.01537213
08/10/2015,18.01537213
08/17/2015,18.01537213
08/24/2015,18.01537213
08/31/2015,18.01537213
09/07/2015,18.01537213
09/14/2015,18.01537213
09/21/2015,18.01537213
09/28/2015,18.01537213
10/05/2015,18.01537213
10/12/2015,18.01537213
10/19/2015,18.01537213
10/26/2015,18.01537213
11/02/2015,18.01537213
11/09/2015,18.01537213
11/16/2015,18.01537213
11/23/2015,18.01537213
11/30/2015,18.01537213
12/07/2015,18.01537213
12/14/2015,18.01537213
12/21/2015,18.01537213
12/28/2015,18.01537213
01/04/2016,24.70444049
01/11/2016,24.70444049
01/18/2016,24.70444049
01/25/2016,24.70444049
02/01/2016,24.70444049
02/08/2016,24.70444049
02/15/2016,24.70444049
02/22/2016,24.70444049
02/29/2016,24.70444049
03/07/2016,24.70444049
03/14/2016,24.70444049
03/21/2016,24.70444049
03/28/2016,24.70444049
04/04/2016,24.70444049
04/11/2016,24.70444049
04/18/2016,24.70444049
04/25/2016,24.70444049
05/02/2016,24.70444049
05/09/2016,24.70444049
05/16/2016,24.70444049
05/23/2016,24.70444049
05/30/2016,24.70444049
06/06/2016,24.70444049
06/13/2016,24.70444049
06/20/2016,24.70444049
06/27/2016,24.70444049
07/04/2016,24.70444049
07/11/2016,24.70444049
07/18/2016,24.70444049
07/25/2016,24.70444049
08/01/2016,24.70444049
08/08/2016,24.70444049
08/15/2016,24.70444049
08/22/2016,24.70444049
08/29/2016,24.70444049
09/05/2016,24.70444049
09/12/2016,24.70444049
09/19/2016,24.70444049
09/26/2016,24.70444049
10/03/2016,24.70444049
10/10/2016,24.70444049
10/17/2016,24.70444049
10/24/2016,24.70444049
10/31/2016,24.70444049
11/07/2016,24.70444049
11/14/2016,24.70444049
11/21/2016,24.70444049
11/28/2016,24.70444049
12/05/2016,24.70444049
12/12/2016,24.70444049
12/19/2016,24.70444049
12/26/2016,24.70444049
01/02/2017,22.05489058
01/09/2017,22.05489058
01/16/2017,22.05489058
01/23/2017,22.05489058
01/30/2017,22.05489058
02/06/2017,22.05489058
02/13/2017,22.05489058
02/20/2017,22.05489058
02/27/2017,22.05489058
03/06/2017,22.05489058
03/13/2017,22.05489058
03/20/2017,22.05489058
03/27/2017,22.05489058
04/03/2017,22.05489058
04/10/2017,22.05489058
04/17/2017,22.05489058
04/24/2017,22.05489058
05/01/2017,22.05489058
05/08/2017,22.05489058
05/15/2017,22.05489058
05/22/2017,22.05489058
05/29/2017,22.05489058
06/05/2017,22.05489058
06/12/2017,22.05489058
06/19/2017,22.05489058
06/26/2017,22.05489058
07/03/2017,22.05489058
07/10/2017,22.05489058
07/17/2017,22.05489058
07/24/2017,22.05489058
07/31/2017,22.05489058
08/07/2017,22.05489058
08/14/2017,22.05489058
08/21/2017,22.05489058
08/28/2017,22.05489058
09/04/2017,22.05489058
09/11/2017,22.05489058
09/18/2017,22.05489058
09/25/2017,22.05489058
10/02/2017,22.05489058
10/09/2017,22.05489058
10/16/2017,22.05489058
10/23/2017,22.05489058
10/30/2017,22.05489058
11/06/2017,22.05489058
11/13/2017,22.05489058
11/20/2017,22.05489058
11/27/2017,22.05489058
12/04/2017,22.05489058
12/11/2017,22.05489058
12/18/2017,22.05489058
12/25/2017,22.05489058
01/01/2018,19.80463934
01/08/2018,19.80463934
01/15/2018,19.80463934
01/22/2018,19.80463934
01/29/2018,19.80463934
02/05/2018,19.80463934
02/12/2018,19.80463934
02/19/2018,19.80463934
02/26/2018,19.80463934
03/05/2018,19.80463934
03/12/2018,19.80463934
03/19/2018,19.80463934
03/26/2018,19.80463934
04/02/2018,19.80463934
04/09/2018,19.80463934
04/16/2018,19.80463934
04/23/2018,19.80463934
04/30/2018,19.80463934
05/07/2018,19.80463934
05/14/2018,19.80463934
05/21/2018,19.80463934
05/28/2018,19.80463934
06/04/2018,19.80463934
06/11/2018,19.80463934
06/18/2018,19.80463934
06/25/2018,19.80463934
07/02/2018,19.80463934
07/09/2018,19.80463934
07/16/2018,19.80463934
07/23/2018,19.80463934
07/30/2018,19.80463934
08/06/2018,19.80463934
08/13/2018,19.80463934
08/20/2018,19.80463934
08/27/2018,19.80463934
09/03/2018,19.80463934
09/10/2018,19.80463934
09/17/2018,19.80463934
09/24/2018,19.80463934
10/01/2018,19.80463934
10/08/2018,19.80463934
10/15/2018,19.80463934
10/22/2018,19.80463934
10/29/2018,19.80463934
11/05/2018,19.80463934
11/12/2018,19.80463934
11/19/2018,19.80463934
11/26/2018,19.80463934
12/03/2018,19.80463934
12/10/2018,19.80463934
12/17/2018,19.80463934
12/24/2018,19.80463934
12/31/2018,19.80463934
01/07/2019,19.0833527
01/14/2019,19.0833527
01/21/2019,19.0833527
01/28/2019,19.0833527
02/04/2019,19.0833527
02/11/2019,19.0833527
02/18/2019,19.0833527
02/25/2019,19.0833527
03/04/2019,19.0833527
03/11/2019,19.0833527
03/18/2019,19.0833527
03/25/2019,19.0833527
04/01/2019,19.0833527
04/08/2019,19.0833527
04/15/2019,19.0833527
04/22/2019,19.0833527
04/29/2019,19.0833527
05/06/2019,19.0833527
05/13/2019,19.0833527
05/20/2019,19.0833527
05/27/2019,19.0833527
06/03/2019,19.0833527
06/10/2019,19.0833527
06/17/2019,19.0833527
06/24/2019,19.0833527
07/01/2019,19.0833527
07/08/2019,19.0833527
07/15/2019,19.0833527
07/22/2019,19.0833527
07/29/2019,19.0833527
08/05/2019,19.0833527
08/12/2019,19.0833527
08/19/2019,19.0833527
08/26/2019,19.0833527
09/02/2019,19.0833527
09/09/2019,19.0833527
09/16/2019,19.0833527
09/23/2019,19.0833527
09/30/2019,19.0833527
10/07/2019,19.0833527
10/14/2019,19.0833527
10/21/2019,19.0833527
10/28/2019,19.0833527
11/04/2019,19.0833527
11/11/2019,19.0833527
11/18/2019,19.0833527
11/25/2019,19.0833527
12/02/2019,19.0833527
12/09/2019,19.0833527
12/16/2019,19.0833527
12/23/2019,19.0833527
12/30/2019,19.0833527
01/06/2020,29.56158726
01/13/2020,29.56158726
01/20/2020,29.56158726
01/27/2020,29.56158726
02/03/2020,29.56158726
02/10/2020,29.56158726
02/17/2020,29.56158726
02/24/2020,29.56158726
03/02/2020,29.56158726
03/09/2020,29.56158726
03/16/2020,29.56158726
03/23/2020,29.56158726
03/30/2020,29.56158726
04/06/2020,29.56158726
04/13/2020,29.56158726
04/20/2020,29.56158726
04/27/2020,29.56158726
05/04/2020,29.56158726
05/11/2020,29.56158726
05/18/2020,29.56158726
05/25/2020,29.56158726
06/01/2020,29.56158726
06/08/2020,29.56158726
06/15/2020,29.56158726
06/22/2020,29.56158726
06/29/2020,29.56158726
07/06/2020,29.56158726
07/13/2020,29.56158726
07/20/2020,29.56158726
07/27/2020,29.56158726
08/03/2020,29.56158726
08/10/2020,29.56158726
08/17/2020,29.56158726
08/24/2020,29.56158726
08/31/2020,29.56158726
09/07/2020,29.56158726
09/14/2020,29.56158726
09/21/2020,29.56158726
09/28/2020,29.56158726
10/05/2020,29.56158726
10/12/2020,29.56158726
10/19/2020,29.56158726
10/26/2020,29.56158726
11/02/2020,29.56158726
11/09/2020,29.56158726
11/16/2020,29.56158726
11/23/2020,29.56158726
11/30/2020,29.56158726
12/07/2020,29.56158726
12/14/2020,29.56158726
12/21/2020,29.56158726
12/28/2020,29.56158726
01/04/2021,27.00998506
01/11/2021,27.00998506
01/18/2021,27.00998506
01/25/2021,27.00998506
02/01/2021,27.00998506
02/08/2021,27.00998506
02/15/2021,27.00998506
02/22/2021,27.00998506
03/01/2021,27.00998506
03/08/2021,27.00998506
03/15/2021,27.00998506
03/22/2021,27.00998506
03/29/2021,27.00998506
04/05/2021,27.00998506
04/12/2021,27.00998506
04/19/2021,27.00998506
04/26/2021,27.00998506
05/03/2021,27.00998506
05/10/2021,27.00998506
05/17/2021,27.00998506
05/24/2021,27.00998506
05/31/2021,27.00998506
06/07/2021,27.00998506
06/14/2021,27.00998506
06/21/2021,27.00998506
06/28/2021,27.00998506
07/05/2021,27.00998506
07/12/2021,27.00998506
07/19/2021,27.00998506
07/26/2021,27.00998506
08/02/2021,27.00998506
08/09/2021,27.00998506
08/16/2021,27.00998506
08/23/2021,27.00998506
08/30/2021,27.00998506
09/06/2021,27.00998506
09/13/2021,27.00998506
09/20/2021,27.00998506
09/27/2021,27.00998506
10/04/2021,27.00998506
10/11/2021,27.00998506
10/18/2021,27.00998506
10/25/2021,27.00998506
11/01/2021,27.00998506
11/08/2021,27.00998506
11/15/2021,27.00998506
11/22/2021,27.00998506
11/29/2021,27.00998506
12/06/2021,27.00998506
12/13/2021,27.00998506
12/20/2021,27.00998506
12/27/2021,27.00998506
01/03/2022,19.53029973
01/10/2022,19.53029973
01/17/2022,19.53029973
01/24/2022,19.53029973
01/31/2022,19.53029973
02/07/2022,19.53029973
02/14/2022,19.53029973
02/21/2022,19.53029973
02/28/2022,19.53029973
03/07/2022,19.53029973
03/14/2022,19.53029973
03/21/2022,19.53029973
03/28/2022,19.53029973
04/04/2022,19.53029973
04/11/2022,19.53029973
04/18/2022,19.53029973
04/25/2022,19.53029973
05/02/2022,19.53029973
05/09/2022,19.53029973
05/16/2022,19.53029973
05/23/2022,19.53029973
05/30/2022,19.53029973
06/06/2022,19.53029973
06/13/2022,19.53029973
06/20/2022,19.53029973
06/27/2022,19.53029973
07/04/2022,19.53029973
07/11/2022,19.53029973
07/18/2022,19.53029973
07/25/2022,19.53029973
08/01/2022,19.53029973
08/08/2022,19.53029973
08/15/2022,19.53029973
08/22/2022,19.53029973
08/29/2022,19.53029973
09/05/2022,19.53029973
09/12/2022,19.53029973
09/19/2022,19.53029973
09/26/2022,19.53029973
10/03/2022,19.53029973
10/10/2022,19.53029973
10/17/2022,19.53029973
10/24/2022,19.53029973
10/31/2022,19.53029973
11/07/2022,19.53029973
11/14/2022,19.53029973
11/21/2022,19.53029973
11/28/2022,19.53029973
12/05/2022,19.53029973
12/12/2022,19.53029973
12/19/2022,19.53029973
12/26/2022,19.53029973
01/02/2023,14.34340906
01/09/2023,14.34340906
01/16/2023,14.34340906
01/23/2023,14.34340906
01/30/2023,14.34340906
02/06/2023,14.34340906
02/13/2023,14.34340906
02/20/2023,14.34340906
02/27/2023,14.34340906
03/06/2023,14.34340906
03/13/2023,14.34340906
03/20/2023,14.34340906
03/27/2023,14.34340906
04/03/2023,14.34340906
04/10/2023,14.34340906
04/17/2023,14.34340906
04/24/2023,14.34340906
05/01/2023,14.34340906
05/08/2023,14.34340906
05/15/2023,14.34340906
05/22/2023,14.34340906
05/29/2023,14.34340906
06/05/2023,14.34340906
06/12/2023,14.34340906
06/19/2023,14.34340906
06/26/2023,14.34340906
07/03/2023,14.34340906
07/10/2023,14.34340906
07/17/2023,14.34340906
07/24/2023,14.34340906
07/31/2023,14.34340906
08/07/2023,14.34340906
08/14/2023,14.34340906
08/21/2023,14.34340906
08/28/2023,14.34340906
09/04/2023,14.34340906
09/11/2023,14.34340906
09/18/2023,14.34340906
09/25/2023,14.34340906
10/02/2023,14.34340906
10/09/2023,14.34340906
10/16/2023,14.34340906
10/23/2023,14.34340906
10/30/2023,14.34340906
11/06/2023,14.34340906
11/13/2023,14.34340906
11/20/2023,14.34340906
11/27/2023,14.34340906
12/04/2023,14.34340906
12/11/2023,14.34340906
12/18/2023,14.34340906
12/25/2023,14.34340906
