,Petroleum: Imports: Crude Oil: USD
Region,Sri Lanka
Subnational,
Frequency,Weekly beginning at Monday
Unit,USD mn
Source,Central Bank of Sri Lanka
Status,Active
Series ID,107583001 (LBKDHB)
SR Code,SR1070203
Trade Code,
Mnemonic,
Function Description,DISAGGREGATE(Weekly; Sunday; Distribute)
First Obs. Date,01/07/1991
Last Obs. Date,12/26/2022
Last Update Time,27/04/2023
Series remarks,
Suggestions,
Mean,13.233073696824452
Variance,63.55225494904782
Standard Deviation,7.971966818110059
Skewness,0.6060737210927722
Kurtosis,-0.7037567748989186
Coefficient Variation,0.6024274481312
Min,3.3653846153846154
Max,31.78846153846154
Median,19.339622641509433
Sum,
Subtract,
No. of Obs,1669
01/07/1991,4.5
01/14/1991,4.5
01/21/1991,4.5
01/28/1991,4.5
02/04/1991,4.5
02/11/1991,4.5
02/18/1991,4.5
02/25/1991,4.5
03/04/1991,4.5
03/11/1991,4.5
03/18/1991,4.5
03/25/1991,4.5
04/01/1991,4.5
04/08/1991,4.5
04/15/1991,4.5
04/22/1991,4.5
04/29/1991,4.5
05/06/1991,4.5
05/13/1991,4.5
05/20/1991,4.5
05/27/1991,4.5
06/03/1991,4.5
06/10/1991,4.5
06/17/1991,4.5
06/24/1991,4.5
07/01/1991,4.5
07/08/1991,4.5
07/15/1991,4.5
07/22/1991,4.5
07/29/1991,4.5
08/05/1991,4.5
08/12/1991,4.5
08/19/1991,4.5
08/26/1991,4.5
09/02/1991,4.5
09/09/1991,4.5
09/16/1991,4.5
09/23/1991,4.5
09/30/1991,4.5
10/07/1991,4.5
10/14/1991,4.5
10/21/1991,4.5
10/28/1991,4.5
11/04/1991,4.5
11/11/1991,4.5
11/18/1991,4.5
11/25/1991,4.5
12/02/1991,4.5
12/09/1991,4.5
12/16/1991,4.5
12/23/1991,4.5
12/30/1991,4.5
01/06/1992,3.36538461538462
01/13/1992,3.36538461538462
01/20/1992,3.36538461538462
01/27/1992,3.36538461538462
02/03/1992,3.36538461538462
02/10/1992,3.36538461538462
02/17/1992,3.36538461538462
