date,fuel_consumption,petroleum_imports,tax_custom_import,foreign_direct_investments,GDP_goods_services,GDP_gross_income,government_debt,new_vehicle_registration,vehicle_sales,port_stay_duration,vehicle_sales_asia_sl,num_vessels_colombo,imports_refined_products,colombo_port_calls,tax_income_profit,tax_export,tax_goods_services,tax_road_transport,GDP_fce_households,diesel_user_price,petrol_user_price,consumption_oil,sales_90_octane,sales_95_octane,sales_auto_diesel,household_income,fuel_other_manufacture,demand
1971-01-04,0.09055876685934494,,,,,,,,,,,,,,,,,,,,,0.028398218604686998,,,,,,0.11895698546403194
1971-01-11,0.09055876685934494,,,,,,,,,,,,,,,,,,,,,0.028398218604686998,,,,,,0.11895698546403194
1971-01-18,0.09055876685934494,,,,,,,,,,,,,,,,,,,,,0.028398218604686998,,,,,,0.11895698546403194
1971-01-25,0.09055876685934494,,,,,,,,,,,,,,,,,,,,,0.028398218604686998,,,,,,0.11895698546403194
1971-02-01,0.09055876685934494,,,,,,,,,,,,,,,,,,,,,0.028398218604686998,,,,,,0.11895698546403194
1971-02-08,0.09055876685934494,,,,,,,,,,,,,,,,,,,,,0.028398218604686998,,,,,,0.11895698546403194
1971-02-15,0.09055876685934494,,,,,,,,,,,,,,,,,,,,,0.028398218604686998,,,,,,0.11895698546403194
1971-02-22,0.09055876685934494,,,,,,,,,,,,,,,,,,,,,0.028398218604686998,,,,,,0.11895698546403194
1971-03-01,0.09055876685934494,,,,,,,,,,,,,,,,,,,,,0.028398218604686998,,,,,,0.11895698546403194
1971-03-08,0.09055876685934494,,,,,,,,,,,,,,,,,,,,,0.028398218604686998,,,,,,0.11895698546403194
1971-03-15,0.09055876685934494,,,,,,,,,,,,,,,,,,,,,0.028398218604686998,,,,,,0.11895698546403194
1971-03-22,0.09055876685934494,,,,,,,,,,,,,,,,,,,,,0.028398218604686998,,,,,,0.11895698546403194
1971-03-29,0.09055876685934494,,,,,,,,,,,,,,,,,,,,,0.028398218604686998,,,,,,0.11895698546403194
1971-04-05,0.09055876685934494,,,,,,,,,,,,,,,,,,,,,0.028398218604686998,,,,,,0.11895698546403194
1971-04-12,0.09055876685934494,,,,,,,,,,,,,,,,,,,,,0.028398218604686998,,,,,,0.11895698546403194
1971-04-19,0.09055876685934494,,,,,,,,,,,,,,,,,,,,,0.028398218604686998,,,,,,0.11895698546403194
1971-04-26,0.09055876685934494,,,,,,,,,,,,,,,,,,,,,0.028398218604686998,,,,,,0.11895698546403194
1971-05-03,0.09055876685934494,,,,,,,,,,,,,,,,,,,,,0.028398218604686998,,,,,,0.11895698546403194
1971-05-10,0.09055876685934494,,,,,,,,,,,,,,,,,,,,,0.028398218604686998,,,,,,0.11895698546403194
1971-05-17,0.09055876685934494,,,,,,,,,,,,,,,,,,,,,0.028398218604686998,,,,,,0.11895698546403194
1971-05-24,0.09055876685934494,,,,,,,,,,,,,,,,,,,,,0.028398218604686998,,,,,,0.11895698546403194
1971-05-31,0.09055876685934494,,,,,,,,,,,,,,,,,,,,,0.028398218604686998,,,,,,0.11895698546403194
1971-06-07,0.09055876685934494,,,,,,,,,,,,,,,,,,,,,0.028398218604686998,,,,,,0.11895698546403194
1971-06-14,0.09055876685934494,,,,,,,,,,,,,,,,,,,,,0.028398218604686998,,,,,,0.11895698546403194
1971-06-21,0.09055876685934494,,,,,,,,,,,,,,,,,,,,,0.028398218604686998,,,,,,0.11895698546403194
1971-06-28,0.09055876685934494,,,,,,,,,,,,,,,,,,,,,0.028398218604686998,,,,,,0.11895698546403194
1971-07-05,0.09055876685934494,,,,,,,,,,,,,,,,,,,,,0.028398218604686998,,,,,,0.11895698546403194
1971-07-12,0.09055876685934494,,,,,,,,,,,,,,,,,,,,,0.028398218604686998,,,,,,0.11895698546403194
1971-07-19,0.09055876685934494,,,,,,,,,,,,,,,,,,,,,0.028398218604686998,,,,,,0.11895698546403194
1971-07-26,0.09055876685934494,,,,,,,,,,,,,,,,,,,,,0.028398218604686998,,,,,,0.11895698546403194
1971-08-02,0.09055876685934494,,,,,,,,,,,,,,,,,,,,,0.028398218604686998,,,,,,0.11895698546403194
1971-08-09,0.09055876685934494,,,,,,,,,,,,,,,,,,,,,0.028398218604686998,,,,,,0.11895698546403194
1971-08-16,0.09055876685934494,,,,,,,,,,,,,,,,,,,,,0.028398218604686998,,,,,,0.11895698546403194
1971-08-23,0.09055876685934494,,,,,,,,,,,,,,,,,,,,,0.028398218604686998,,,,,,0.11895698546403194
1971-08-30,0.09055876685934494,,,,,,,,,,,,,,,,,,,,,0.028398218604686998,,,,,,0.11895698546403194
1971-09-06,0.09055876685934494,,,,,,,,,,,,,,,,,,,,,0.028398218604686998,,,,,,0.11895698546403194
1971-09-13,0.09055876685934494,,,,,,,,,,,,,,,,,,,,,0.028398218604686998,,,,,,0.11895698546403194
1971-09-20,0.09055876685934494,,,,,,,,,,,,,,,,,,,,,0.028398218604686998,,,,,,0.11895698546403194
1971-09-27,0.09055876685934494,,,,,,,,,,,,,,,,,,,,,0.028398218604686998,,,,,,0.11895698546403194
1971-10-04,0.09055876685934494,,,,,,,,,,,,,,,,,,,,,0.028398218604686998,,,,,,0.11895698546403194
1971-10-11,0.09055876685934494,,,,,,,,,,,,,,,,,,,,,0.028398218604686998,,,,,,0.11895698546403194
1971-10-18,0.09055876685934494,,,,,,,,,,,,,,,,,,,,,0.028398218604686998,,,,,,0.11895698546403194
1971-10-25,0.09055876685934494,,,,,,,,,,,,,,,,,,,,,0.028398218604686998,,,,,,0.11895698546403194
