filename,acts_count,rescinded_flag,special_case_weight,impact,most_relevant_money,most_relevant_percent,fuel_related_flag,effective_date
1702_19-20(E)_text.txt,4,1,3,0,144514.0,138.0,1,
1703-01-20(E)_text.txt,2,0,3,1,2011.0,,0,April 2011
1706_03-20(E)_text.txt,2,0,3,0,14578.0,138.0,1,
1708_21-20(E)_text.txt,11,1,18,1,8703.32,30.0,1,
1733_1_E_text.txt,4,1,3,0,367500.0,138.0,1,
ImportCess-eng_text.txt,2,1,6,1,20112.0,100.0,1,
